row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,828.184.650.000,418.333.992.221,1.057.444.544.466,321.959.283.337,2.625.922.470.024,828184650000.0,418333992221.0,1057444544466.0,321959283337.0,2625922470024.0
- Lợi nhuận trong năm,Năm trước: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,168.436.703.433,168.436.703.433,,,,168436703433.0,168436703433.0
- Trích lập quỹ đầu tư phát triển,Năm trước: > - Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,82.100.730.090,(82.100.730.090),-,,,82100730090.0,-82100730090.0,
"- Trích lập quỹ khen thưởng, phúc lợi","Năm trước: > - Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(35.186.027.000),(35.186.027.000),,,,-35186027000.0,-35186027000.0
- Chia cổ tức,Năm trước: > - Chia cổ tức,- Chia cổ tức,-,-,-,(82.818.465.000),(82.818.465.000),,,,-82818465000.0,-82818465000.0
- Tăng khác,Năm trước: > - Tăng khác,- Tăng khác,-,-,-,1.680.950.246,1.680.950.246,,,,1680950246.0,1680950246.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,828.184.650.000,418.333.992.221,1.139.545.274.556,291.971.714.926,2.678.035.631.703,828184650000.0,418333992221.0,1139545274556.0,291971714926.0,2678035631703.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,828.184.650.000,418.333.992.221,1.139.545.274.556,291.971.714.926,2.678.035.631.703,828184650000.0,418333992221.0,1139545274556.0,291971714926.0,2678035631703.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,224.078.375.470,224.078.375.470,,,,224078375470.0,224078375470.0
- Chia cổ tức bằng cổ phiếu (*),Năm nay: > - Chia cổ tức bằng cổ phiếu (*),- Chia cổ tức bằng cổ phiếu (*),82.813.630.000,-,-,(82.813.630.000),-,82813630000.0,,,-82813630000.0,
- Trích lập quỹ đầu tư phát triển (*),Năm nay: > - Trích lập quỹ đầu tư phát triển (*),- Trích lập quỹ đầu tư phát triển (*),-,-,208.684.633.153,(208.684.633.153),-,,,208684633153.0,-208684633153.0,
"- Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay: > - Trích lập quỹ khen thưởng, phúc lợi (*)","- Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,-,(23.187.181.000),(23.187.181.000),,,,-23187181000.0,-23187181000.0
- Thù lao HĐQT 2019,Năm nay: > - Thù lao HĐQT 2019,- Thù lao HĐQT 2019,-,-,-,(2.514.000.000),(2.514.000.000),,,,-2514000000.0,-2514000000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,910.998.280.000,418.333.992.221,1.348.229.907.709,198.850.646.243,2.876.412.826.173,910998280000.0,418333992221.0,1348229907709.0,198850646243.0,2876412826173.0
