row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số cuối năm,Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số đầu năm
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,481.348.803.000,363.473.060.065,481348803000.0,363473060065.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,481.348.803.000,363.473.060.065,481348803000.0,363473060065.0
