row_label_raw,row_label_full,col_0,"Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi",Kinh doanh bất động sản và dịch vụ xây lắp,Hoạt động thương mại khác,Điều chỉnh và loại trừ,Tổng cộng,"numeric__Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi",numeric__Kinh doanh bất động sản và dịch vụ xây lắp,numeric__Hoạt động thương mại khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,5.457.632.171.832,159.852.532.726,24.828.225.078,(4.154.356.979),5.638.158.572.657,5457632171832.0,159852532726.0,24828225078.0,-4154356979.0,5638158572657.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận kế toán trước thuế,Kết quả > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,56.673.950.109,134.506.052.856,750.130.381,-,191.930.133.346,56673950109.0,134506052856.0,750130381.0,,191930133346.0
Chỉ phí thuế TNDN,Kết quả > Chỉ phí thuế TNDN,Chỉ phí thuế TNDN,3.167.495.907,20.175.907.928,150.026.077,-,23.493.429.912,3167495907.0,20175907928.0,150026077.0,,23493429912.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,53.506.454.202,114.330.144.928,600.104.304,-,168.436.703.434,53506454202.0,114330144928.0,600104304.0,,168436703434.0
Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,,,,,
Tổng tài sản,Tải sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,7.398.488.744.605,,,,,7398488744605.0
Tài sản bộ phận,Tải sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,5.861.499.525.774,359.561.583.377,920.493.167,-,6.221.981.602.318,5861499525774.0,359561583377.0,920493167.0,,6221981602318.0
Tài sản không phân bổ (*),Tải sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,,1.176.507.142.287,,,,,1176507142287.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,
Nợ phải trả bộ phận,Tổng nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.686.404.830.448,33.192.024.035,856.258.418,-,4.720.453.112.901,4686404830448.0,33192024035.0,856258418.0,,4720453112901.0
