row_label_raw,row_label_full,col_0,"Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi",Kinh doanh bất động sản và dịch vụ xây lắp,Hoạt động thương mại khác,Điều chỉnh và loại trừ,Tổng cộng,"numeric__Sản xuất, bán thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi",numeric__Kinh doanh bất động sản và dịch vụ xây lắp,numeric__Hoạt động thương mại khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,6.714.917.046.420,249.884.680.337,26.320.405.394,(4.517.746.815),6.986.604.385.336,6714917046420.0,249884680337.0,26320405394.0,-4517746815.0,6986604385336.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận kế toán trước thuế,Kết quả > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,191.663.447.042,60.799.991.816,452.669.720,-,252.916.108.578,191663447042.0,60799991816.0,452669720.0,,252916108578.0
Chỉ phí thuế TNDN,Kết quả > Chỉ phí thuế TNDN,Chỉ phí thuế TNDN,19.627.200.391,9.119.998.772,90.533.945,-,28.837.733.108,19627200391.0,9119998772.0,90533945.0,,28837733108.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,172.036.246.651,51.679.993.044,362.135.775,-,224.078.375.470,172036246651.0,51679993044.0,362135775.0,,224078375470.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,8.519.263.607.948,,,,,8519263607948.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,6.487.615.038.113,507.826.863.919,1.856.215.384,-,6.997.298.117.416,6487615038113.0,507826863919.0,1856215384.0,,6997298117416.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,,1.521.965.490.532,,,,,1521965490532.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,5.642.850.781.775,,,,,5642850781775.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,5.571.428.396.174,69.899.441.693,1.522.943.908,-,5.642.850.781.775,5571428396174.0,69899441693.0,1522943908.0,,5642850781775.0
