row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Đơn vị tính: VND > Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Đơn vị tính: VND > Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2)
Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,Công ty liên kết,15.000.000.000,15.000.000.000,,15000000000.0,15000000000.0
Thực phẩm Dabaco,Thực phẩm Dabaco,Thực phẩm Dabaco,,15.000.000.000,15.000.000.000,,15000000000.0,15000000000.0
Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),,,
Công ty Cổ phần Transeco,Phải trả người bán (Thuyết minh số 15) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,16.020.369.240,12.875.368.651,,16020369240.0,12875368651.0
Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Phải trả người bán (Thuyết minh số 15) > Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty con,29.423.740.849,20.836.853.850,,29423740849.0,20836853850.0
Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Phải trả người bán (Thuyết minh số 15) > Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,,45.444.110.089,33.712.222.501,,45444110089.0,33712222501.0
Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),,,
Công ty TNHH Nutreco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,76.082.010.880,92.392.989.721,,76082010880.0,92392989721.0
Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty con,42.210.000,28.116.000,,42210000.0,28116000.0
Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH MTV Chế biến Thực phẩm Dabaco,,76.124.220.880,92.421.105.721,,76124220880.0,92421105721.0
