row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,13.578.943.689,(13.578.943.689),-,,13578943689.0,-13578943689.0,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,23.449.778.229,28.837.733.108,(43.491.953.914),8.795.557.423,23449778229.0,28837733108.0,-43491953914.0,8795557423.0
Thuế nhập khẩu,Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,16.788.893.868,(16.788.893.868),-,,16788893868.0,-16788893868.0,
Tiền sử dụng đất,Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,-,52.206.559.511,(49.970.896.411),2.235.663.100,,52206559511.0,-49970896411.0,2235663100.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,-,2.439.018.134,(2.439.018.134),-,,2439018134.0,-2439018134.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,23.449.778.229,113.851.148.310,(126.269.706.016),11.031.220.523,23449778229.0,113851148310.0,-126269706016.0,11031220523.0
,,,Số đầu năm,Số kê khai hoàn trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,91.474.395.193,60.637.816.827,(85.694.535.776),66.417.676.244,91474395193.0,60637816827.0,-85694535776.0,66417676244.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,91.474.395.193,60.637.816.827,(85.694.535.776),66.417.676.244,91474395193.0,60637816827.0,-85694535776.0,66417676244.0
