row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,Ngày 31 tháng 12 năm 2019 > Giá trị(VND),Ngày 31 tháng 12 năm 2019 > Tỷ lệvớnnăm giữ,Ngày 31 tháng 12 năm 2019 > Tỷ lệ quyềnbiểu quyết,Ngày 31 tháng 12 năm 2018 > Giá trị(VND),Ngày 31 tháng 12 năm 2018 > Tỷ lệvớnnăm giữ,Ngày 31 tháng 12 năm 2018 > Tỷ lệ quyềnbiểu quyết,numeric__Tên đơn vị_1,numeric__Ngày 31 tháng 12 năm 2019 > Giá trị(VND),numeric__Ngày 31 tháng 12 năm 2019 > Tỷ lệvớnnăm giữ,numeric__Ngày 31 tháng 12 năm 2019 > Tỷ lệ quyềnbiểu quyết,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị(VND),numeric__Ngày 31 tháng 12 năm 2018 > Tỷ lệvớnnăm giữ,numeric__Ngày 31 tháng 12 năm 2018 > Tỷ lệ quyềnbiểu quyết
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,(i),20.000.000.000,"33,33%","33,33%",20.000.000.000,"33,33%","33,33%",,20000000000.0,0.3333,0.3333,20000000000.0,0.3333,0.3333
Công ty TNHH Chế biến thực phẩm Dabaco,Công ty TNHH Chế biến thực phẩm Dabaco,Công ty TNHH Chế biến thực phẩm Dabaco,(ii),90.000.000.000,45%,45%,90.000.000.000,45%,45%,,90000000000.0,0.45,0.45,90000000000.0,0.45,0.45
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,110.000.000.000,,,110.000.000.000,,,,110000000000.0,,,110000000000.0,,
