row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng(Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng(Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng(Thuyết minh số 6.1),Số đầu năm > Phải thu khách hàng(Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng(Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng(Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu khách hàng(Thuyết minh số 6.1)
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,696.111.301.519,-,,696111301519.0,
Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty con,449.662.627.653,260.248.066.395,,449662627653.0,260248066395.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,349.280.460.395,592.749.816.795,,349280460395.0,592749816795.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,280.236.828.543,232.930.961.802,,280236828543.0,232930961802.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,268.707.199.636,238.749.538.529,,268707199636.0,238749538529.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,225.074.608.772,225.952.257.890,,225074608772.0,225952257890.0
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,165.561.920.348,196.108.455.365,,165561920348.0,196108455365.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,126.106.022.362,76.616.724.938,,126106022362.0,76616724938.0
Công ty TNHH Lợn giống Lương Tài Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Lương Tài Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Lương Tài Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,120.430.906.563,37.809.393.999,,120430906563.0,37809393999.0
Công ty Lợn giống Hải Phòng,Công ty Lợn giống Hải Phòng,Công ty Lợn giống Hải Phòng,Công ty con,116.215.933.397,100.110.554.905,,116215933397.0,100110554905.0
Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty con,75.214.590.018,59.654.372.974,,75214590018.0,59654372974.0
Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty con,45.402.493.667,46.845.837.781,,45402493667.0,46845837781.0
Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty Đầu tư Xây dựng Hạ tầng Khách sạn Indochina,Công ty con,14.610.931.122,29.293.123.714,,14610931122.0,29293123714.0
Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty con,2.534.105.589,19.057.031.144,,2534105589.0,19057031144.0
Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty con,1.454.660.797,22.130.701.985,,1454660797.0,22130701985.0
Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Lợn giống Lạc Vệ Công ty TNHH Lợn Giống Phú Thọ Công ty TNHH Dabaco Tuyên Quang,Công ty con,745.434.452,41.846.959.715,,745434452.0,41846959715.0
,,,,2.937.350.024.833,2.180.103.797.931,,2937350024833.0,2180103797931.0
