row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,528.654.792.685,10.715.040.000,539.369.832.685,528654792685.0,10715040000.0,539369832685.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,230.294.081.113,-,230.294.081.113,230294081113.0,,230294081113.0
Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),Nguyên giá: > Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),(83.856.864.722),(10.715.040.000),(94.571.904.722),-83856864722.0,-10715040000.0,-94571904722.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,675.092.009.076,-,675.092.009.076,675092009076.0,,675092009076.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,122.054.996.059,7.780.611.276,129.835.607.335,122054996059.0,7780611276.0,129835607335.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,50.378.325.082,35.708.235,50.414.033.317,50378325082.0,35708235.0,50414033317.0
Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),Giá trị khấu hao lũy kế: > Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),(35.498.562.122),(7.816.319.511),(43.314.881.633),-35498562122.0,-7816319511.0,-43314881633.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,136.934.759.019,-,136.934.759.019,136934759019.0,,136934759019.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,406.599.796.626,2.934.428.724,409.534.225.350,406599796626.0,2934428724.0,409534225350.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,538.157.250.057,-,538.157.250.057,538157250057.0,,538157250057.0
