row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Phát sinh tăng,Số phát sinh trong năm > Phát sinh giảm,Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Phát sinh tăng,numeric__Số phát sinh trong năm > Phát sinh giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,20.1,2.224.495.855.609,5.972.627.286.374,(5.680.132.269.176),2.516.990.872.807,201.0,2224495855609.0,5972627286374.0,-5680132269176.0,2516990872807.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,20.2,166.393.171.538,311.304.029.898,(214.649.047.940),263.048.153.496,202.0,166393171538.0,311304029898.0,-214649047940.0,263048153496.0
Nợ thuê tài chính dài hạn đến hạn trả,Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,20.3,79.646.165.430,114.989.078.175,(94.878.429.301),99.756.814.304,203.0,79646165430.0,114989078175.0,-94878429301.0,99756814304.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,20.5,400.000.000,660.000.000,(400.000.000),660.000.000,205.0,400000000.0,660000000.0,-400000000.0,660000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.470.935.192.577,6.399.580.394.447,(5.990.059.746.417),2.880.455.840.607,,2470935192577.0,6399580394447.0,-5990059746417.0,2880455840607.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,20.2,807.266.021.543,500.274.351.855,(315.393.245.098),992.147.128.300,202.0,807266021543.0,500274351855.0,-315393245098.0,992147128300.0
Nợ thuê tài chính,Vay dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,20.3,143.918.823.806,203.554.656.760,(139.944.074.538),207.529.406.028,203.0,143918823806.0,203554656760.0,-139944074538.0,207529406028.0
Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn > Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,20.4,94.000.000.000,-,-,94.000.000.000,204.0,94000000000.0,,,94000000000.0
Vay đối tượng khác,Vay dài hạn > Vay đối tượng khác,Vay đối tượng khác,,70.000.000.000,-,(70.000.000.000),-,,70000000000.0,,-70000000000.0,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.115.184.845.349,703.829.008.615,(525.337.319.636),1.293.676.534.328,,1115184845349.0,703829008615.0,-525337319636.0,1293676534328.0
