row_label_raw,row_label_full,Bên liên quan,Bán hàng,Mua nguyên vật liệu và dịch vụ,Phân bổ chi phí sử dụng tài sản,Lãi vay phân bổ,Lợi nhuận được chia từ công ty con,numeric__Bán hàng,numeric__Mua nguyên vật liệu và dịch vụ,numeric__Phân bổ chi phí sử dụng tài sản,numeric__Lãi vay phân bổ,numeric__Lợi nhuận được chia từ công ty con
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,134.909.737.200,-,36.530.597.880,7.724.884.919,-,134909737200.0,,36530597880.0,7724884919.0,
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,186.557.500.835,-,1.260.387.516,-,-,186557500835.0,,1260387516.0,,
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,56.160.515.955,-,-,-,-,56160515955.0,,,,
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,131.692.797.855,-,22.421.899.469,4.055.701.530,-,131692797855.0,,22421899469.0,4055701530.0,
Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,791.702.910.218,-,-,33.143.924.000,-,791702910218.0,,,33143924000.0,
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,1.786.860.680.177,1.802.146.021.300,12.313.937.112,16.699.159.404,-,1786860680177.0,1802146021300.0,12313937112.0,16699159404.0,
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,692.933.677.744,-,5.519.724.093,506.614.000,40.654.972.123,692933677744.0,,5519724093.0,506614000.0,40654972123.0
Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,13.902.542.149,-,-,-,3.220.916.824,13902542149.0,,,,3220916824.0
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,361.930.140,54.618.271.186,1.276.176.660,12.428.695.097,201.846.410,361930140.0,54618271186.0,1276176660.0,12428695097.0,201846410.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,2.358.770.340,56.763.541.632,2.796.111.076,1.333.578.576,4.655.075.077,2358770340.0,56763541632.0,2796111076.0,1333578576.0,4655075077.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,-,-,1.204.380.528,-,-,,,1204380528.0,,
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,92.529.516.881,-,6.827.043.231,1.237.568.517,10.426.282.943,92529516881.0,,6827043231.0,1237568517.0,10426282943.0
Công ty TNHH DL & KS Le' Indochina,Công ty TNHH DL & KS Le' Indochina,Công ty TNHH DL & KS Le' Indochina,70.431.818,-,-,10.078.246.408,-,70431818.0,,,10078246408.0,
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,451.579.069.704,-,5.252.629.818,1.819.302.227,-,451579069704.0,,5252629818.0,1819302227.0,
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,51.508.429.662,-,13.279.799.004,7.364.962.480,13.123.041.213,51508429662.0,,13279799004.0,7364962480.0,13123041213.0
Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,42.217.579.600,-,-,-,5.836.658.774,42217579600.0,,,,5836658774.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,136.532.088.555,-,15.565.711.403,20.132.560.878,-,136532088555.0,,15565711403.0,20132560878.0,
Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,599.728.980.489,359.573.048.247,814.878.440,2.589.698.655,-,599728980489.0,359573048247.0,814878440.0,2589698655.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.171.607.159.322,2.273.100.882.365,125.063.276.230,119.114.896.691,78.118.793.364,5171607159322.0,2273100882365.0,125063276230.0,119114896691.0,78118793364.0
