row_label_raw,row_label_full,Trong đó,Trong đó_1,numeric__Trong đó_1
Vay dài hạn đến,Vay dài hạn đến,Vay dài hạn đến,Vay dài hạn đến,
hạn trả,Vay dài hạn đến > hạn trả,hạn trả,263.048.153.496,263048153496.0
Vay dài hạn,Vay dài hạn đến > Vay dài hạn,Vay dài hạn,992.147.128.300,992147128300.0
