row_label_raw,row_label_full,Đầu tư vào các công ty con (Thuyết minh số 14.1) > Đầu tư vào công ty liên kết (Thuyết minh số 14.2),Đơn vị tính: VND > Giá trị ghi số (*) > Số cuối năm > 980.417.957.456 > 110.000.000.000,Đơn vị tính: VND > Giá trị ghi số (*) > Số đầu năm > 730.402.443.085 > 110.000.000.000,numeric__Đơn vị tính: VND > Giá trị ghi số (*) > Số cuối năm > 980.417.957.456 > 110.000.000.000,numeric__Đơn vị tính: VND > Giá trị ghi số (*) > Số đầu năm > 730.402.443.085 > 110.000.000.000
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(162.068.309.000),(125.167.981.000),-162068309000.0,-125167981000.0
SỐ DỰ THUÀN,SỐ DỰ THUÀN,SỐ DỰ THUÀN,928.349.648.456,715.234.462.085,928349648456.0,715234462085.0
