row_label_raw,row_label_full,Ông Đoàn Châu Phong > Ông Tô Như Toàn,Tổng Giám đốc (Bố nhiệm ngày 08 tháng 7 năm 2019) > Tổng Giám đốc (Miễn nhiệm ngày 08 tháng 7 năm 2019),numeric__Tổng Giám đốc (Bố nhiệm ngày 08 tháng 7 năm 2019) > Tổng Giám đốc (Miễn nhiệm ngày 08 tháng 7 năm 2019)
Ông Tô Như Thăng,Ông Tô Như Thăng,Ông Tô Như Thăng,Phó Tổng Giám đốc,
Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Phó Tổng Giám đốc,
Ông Nguyễn Minh Nguyên,Ông Nguyễn Minh Nguyên,Ông Nguyễn Minh Nguyên,Phó Tổng Giám đốc,
Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Phó Tổng Giám đốc,
Ông Đình Quốc Hà,Ông Đình Quốc Hà,Ông Đình Quốc Hà,Phó Tổng Giám đốc (Miễn nhiệm ngày 23 tháng 01 năm 2019),
