row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị số sáchVND,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữuVND,Số cuối năm > Giá trị hợp lýVND,Số đầu năm > Giá trị số sáchVND,Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữuVND,Số đầu năm > Giá trị hợp lýVND,numeric__Số cuối năm > Giá trị số sáchVND,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữuVND,numeric__Số cuối năm > Giá trị hợp lýVND,numeric__Số đầu năm > Giá trị số sáchVND,numeric__Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữuVND,numeric__Số đầu năm > Giá trị hợp lýVND
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,528.633.189.272,558.571.736.513,-,504.239.554.272,518.020.379.364,-,528633189272.0,558571736513.0,,504239554272.0,518020379364.0,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,163.786.400.000,201.261.548.268,(*),163.786.400.000,187.377.625.930,(*),163786400000.0,201261548268.0,,163786400000.0,187377625930.0,
Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,33.777.503.175,28.209.342.976,(*),33.777.503.175,23.874.344.244,(*),33777503175.0,28209342976.0,,33777503175.0,23874344244.0,
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,278.006.400.000,278.197.959.172,(*),278.006.400.000,278.057.565.107,(*),278006400000.0,278197959172.0,,278006400000.0,278057565107.0,
Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,2.160.000.000,-,(*),2.160.000.000,2.201.592.986,(*),2160000000.0,,,2160000000.0,2201592986.0,
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,50.902.886.097,50.902.886.097,(*),26.509.251.097,26.509.251.097,(*),50902886097.0,50902886097.0,,26509251097.0,26509251097.0,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,-,-,89.500.000.000,89.500.000.000,,,,,89500000000.0,89500000000.0,
Công ty TNHH Nông được Trường Minh,Công ty TNHH Nông được Trường Minh,Công ty TNHH Nông được Trường Minh,-,-,-,10.500.000.000,10.500.000.000,(*),,,,10500000000.0,10500000000.0,
Công ty TNHH Đầu tư Hưng Phú Residence (i),Công ty TNHH Đầu tư Hưng Phú Residence (i),Công ty TNHH Đầu tư Hưng Phú Residence (i),-,-,-,79.000.000.000,79.000.000.000,(*),,,,79000000000.0,79000000000.0,
,,,528.633.189.272,558.571.736.513,-,593.739.554.272,607.520.379.364,-,528633189272.0,558571736513.0,,593739554272.0,607520379364.0,
