row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Số đầu năm > Tăng,Trong năm > VNDGiảm,Trong năm > VNDGiá trị/Số có khả năng trả nợ,Số cuối năm,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Trong năm > VNDGiảm,numeric__Trong năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số cuối năm
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,1.042.198.554.816,1.503.639.733.537,383.815.679.855,2.162.022.608.498,,1042198554816.0,1503639733537.0,383815679855.0,2162022608498.0,
Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (i),Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (i),Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (i),379.694.711.081,375.131.075.089,152.443.071.191,602.382.714.979,,379694711081.0,375131075089.0,152443071191.0,602382714979.0,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh,662.503.843.735,183.359.547.605,-,845.863.391.340,,662503843735.0,183359547605.0,,845863391340.0,
Thủ Thiêm và Ngân hàng TNHH Indovina - Chi nhánh,Thủ Thiêm và Ngân hàng TNHH Indovina - Chi nhánh,Thủ Thiêm và Ngân hàng TNHH Indovina - Chi nhánh,,,,,,,,,,
Thiên Long (ii),Thiên Long (ii),Thiên Long (ii),,,,,,,,,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh,Thiên Long (ii) > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh,-,216.717.589.179,-,216.717.589.179,,,216717589179.0,,216717589179.0,
Tây Hà Nội (iii),Tây Hà Nội (iii),Tây Hà Nội (iii),,,,,,,,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội Sở Chính(iv),Tây Hà Nội (iii) > Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội Sở Chính(iv),Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội Sở Chính(iv),-,728.431.521.664,231.372.608.664,497.058.913.000,,,728431521664.0,231372608664.0,497058913000.0,
Trái phiếu phát hành (v),Tây Hà Nội (iii) > Trái phiếu phát hành (v),Trái phiếu phát hành (v),395.895.433.578,996.320.000.000,296.161.450.816,1.096.053.982.762,,395895433578.0,996320000000.0,296161450816.0,1096053982762.0,
- Mệnh giá,Tây Hà Nội (iii) > - Mệnh giá,- Mệnh giá,400.000.000.000,1.000.000.000.000,300.000.000.000,1.100.000.000.000,,400000000000.0,1000000000000.0,300000000000.0,1100000000000.0,
- Chi phí phát hành,Tây Hà Nội (iii) > - Chi phí phát hành,- Chi phí phát hành,(4.104.566.422),(3.680.000.000),(3.838.549.184),(3.946.017.238),,-4104566422.0,-3680000000.0,-3838549184.0,-3946017238.0,
,,,1.438.093.988.394,2.499.959.733.537,679.977.130.671,3.258.076.591.260,,1438093988394.0,2499959733537.0,679977130671.0,3258076591260.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Số phải trả trong vòng 12 tháng,Trong đó: > Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,-,,,691.499.378.989,,,,,691499378989.0,
Số phải trả sau 12 tháng,Trong đó: > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,1.438.093.988.394,,,2.566.577.212.271,,1438093988394.0,,,2566577212271.0,
