row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Chi phí quảng cáo Dự án Terra An Hưng,a. Ngắn hạn > Chi phí quảng cáo Dự án Terra An Hưng,Chi phí quảng cáo Dự án Terra An Hưng,1.664.123.977,-,1664123977.0,
Công cụ dụng cụ xuất dùng,a. Ngắn hạn > Công cụ dụng cụ xuất dùng,Công cụ dụng cụ xuất dùng,896.466.732,136.662.949,896466732.0,136662949.0
Chi phí trả trước ngăn hạn khác,a. Ngắn hạn > Chi phí trả trước ngăn hạn khác,Chi phí trả trước ngăn hạn khác,1.634.563.667,-,1634563667.0,
,,,4.195.154.376,136.662.949,4195154376.0,136662949.0
b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,,
Chi phí sửa chữa văn phòng,b. Dải hạn > Chi phí sửa chữa văn phòng,Chi phí sửa chữa văn phòng,27.825.603.835,-,27825603835.0,
Chi phí trả trước tiên thuê đất Dự án Khu dịch vụ khách sạn Hồ Tây,b. Dải hạn > Chi phí trả trước tiên thuê đất Dự án Khu dịch vụ khách sạn Hồ Tây,Chi phí trả trước tiên thuê đất Dự án Khu dịch vụ khách sạn Hồ Tây,10.695.769.026,-,10695769026.0,
Công cụ dụng cụ xuất dùng (*),b. Dải hạn > Công cụ dụng cụ xuất dùng (*),Công cụ dụng cụ xuất dùng (*),136.515.167.526,1.927.478.728,136515167526.0,1927478728.0
"Chi phí quảng cáo, tiếp thị chung","b. Dải hạn > Chi phí quảng cáo, tiếp thị chung","Chi phí quảng cáo, tiếp thị chung",3.727.785.679,-,3727785679.0,
Chi phí bán hàng Dự án Terra An Hưng (phãn cao tăng),b. Dải hạn > Chi phí bán hàng Dự án Terra An Hưng (phãn cao tăng),Chi phí bán hàng Dự án Terra An Hưng (phãn cao tăng),52.090.478.225,-,52090478225.0,
Chi phí trả trước thuê tài sản hoạt động,b. Dải hạn > Chi phí trả trước thuê tài sản hoạt động,Chi phí trả trước thuê tài sản hoạt động,155.077.608,-,155077608.0,
Chi phí trả trước dài hạn khác,b. Dải hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,24.657.327.890,8.603.175.896,24657327890.0,8603175896.0
,,,255.667.209.789,10.530.654.624,255667209789.0,10530654624.0
