row_label_raw,row_label_full,col_0,Số đầu năm phải thu,Số đầu năm phải nộp,Số phải nộp trong năm,Số đã thực nộp /bù trừ trong,Phải thu nhận từ Công ty con,Số cuối năm phải thu,Số cuối năm phải nộp,numeric__Số đầu năm phải thu,numeric__Số đầu năm phải nộp,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp /bù trừ trong,numeric__Phải thu nhận từ Công ty con,numeric__Số cuối năm phải thu,numeric__Số cuối năm phải nộp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,1.669.564.531,10.375.291.484,268.672.141.700,278.783.887.631,-,1.669.564.531,263.545.553,1669564531.0,10375291484.0,268672141700.0,278783887631.0,,1669564531.0,263545553.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,-,92.122.686.516,142.606.331.684,107.823.967.804,5.300.000,192.347.741,127.092.098.137,,92122686516.0,142606331684.0,107823967804.0,5300000.0,192347741.0,127092098137.0
Thuế TNCN,Thuế TNCN,Thuế TNCN,-,633.724.968,19.168.358.675,17.943.062.826,295.446.087,-,1.563.574.730,,633724968.0,19168358675.0,17943062826.0,295446087.0,,1563574730.0
Thuế khác,Thuế khác,Thuế khác,8.225.849,-,499.324.170.460,499.272.474.528,3.000.000,8.225.849,48.695.932,8225849.0,,499324170460.0,499272474528.0,3000000.0,8225849.0,48695932.0
,,,1.677.790.380,103.131.702.968,929.771.002.519,903.823.392.789,303.746.087,1.870.138.121,128.967.914.352,1677790380.0,103131702968.0,929771002519.0,903823392789.0,303746087.0,1870138121.0,128967914352.0
