row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Số đầu năm > Tăng,Trong năm > VNDGiảm,Trong năm > VNDGiá trị/Số có khả năng trả nợ,Số cuối năm,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Trong năm > VNDGiảm,numeric__Trong năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,785.155.061.933,1.523.369.067.361,1.304.665.318.585,1.003.858.810.709,,785155061933.0,1523369067361.0,1304665318585.0,1003858810709.0,
Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (i),Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (i),Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (i),777.755.061.933,685.519.138.357,958.701.273.600,504.572.926.690,,777755061933.0,685519138357.0,958701273600.0,504572926690.0,
Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội Sở chính (ii),Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội Sở chính (ii),Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội Sở chính (ii),-,453.539.443.142,147.964.044.985,305.575.398.157,,,453539443142.0,147964044985.0,305575398157.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Đại La (iii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Đại La (iii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Đại La (iii),-,10.210.485.862,-,10.210.485.862,,,10210485862.0,,10210485862.0,
Đối tượng khác (iv),Đối tượng khác (iv),Đối tượng khác (iv),7.400.000.000,374.100.000.000,198.000.000.000,183.500.000.000,,7400000000.0,374100000000.0,198000000000.0,183500000000.0,
Vay dài hạn đến hạn trả (xem thuyết minh số 21),Vay dài hạn đến hạn trả (xem thuyết minh số 21),Vay dài hạn đến hạn trả (xem thuyết minh số 21),-,689.013.784.104,(2.485.594.885),691.499.378.989,,,689013784104.0,-2485594885.0,691499378989.0,
Ngân hàng TNHH Indovina - Chi nhánh Thiên Long,Ngân hàng TNHH Indovina - Chi nhánh Thiên Long,Ngân hàng TNHH Indovina - Chi nhánh Thiên Long,-,51.745.741.862,-,51.745.741.862,,,51745741862.0,,51745741862.0,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Thủ Thiêm,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Thủ Thiêm,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Thủ Thiêm,-,10.000.000.000,-,10.000.000.000,,,10000000000.0,,10000000000.0,
Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội Sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội Sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội Sở chính,-,231.372.608.664,-,231.372.608.664,,,231372608664.0,,231372608664.0,
Trái phiếu đến kỳ hạn,Trái phiếu đến kỳ hạn,Trái phiếu đến kỳ hạn,-,395.895.433.578,(2.485.594.885),398.381.028.463,,,395895433578.0,-2485594885.0,398381028463.0,
,,,785.155.061.933,2.212.382.851.465,1.302.179.723.700,1.695.358.189.698,,785155061933.0,2212382851465.0,1302179723700.0,1695358189698.0,
