row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.600.000.000.000,1.674,15.177.859.740,7.588.929.869,221.423.616.164,192.614.081.136,2.036.804.488.583,1600000000000.0,1674.0,15177859740.0,7588929869.0,221423616164.0,192614081136.0,2036804488583.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,-,34.640.000.000,34.640.000.000,,,,,,34640000000.0,34640000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,421.646.125.412,13.674.336.070,435.320.461.482,,,,,421646125412.0,13674336070.0,435320461482.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,-,(789.559.513),-,(789.559.513),,,,,-789559513.0,,-789559513.0
Ảnh hưởng do Công ty mẹ mua lại cổ phần cổ đông không kiểm soát,Ảnh hưởng do Công ty mẹ mua lại cổ phần cổ đông không kiểm soát,Ảnh hưởng do Công ty mẹ mua lại cổ phần cổ đông không kiểm soát,-,-,-,-,(18.112.527.771),(78.920.722.228),(97.033.249.999),,,,,-18112527771.0,-78920722228.0,-97033249999.0
Do mua công ty con trong năm - Công ty CP Union Success Việt Nam,Do mua công ty con trong năm - Công ty CP Union Success Việt Nam,Do mua công ty con trong năm - Công ty CP Union Success Việt Nam,-,-,-,-,-,48.626.690.410,48.626.690.410,,,,,,48626690410.0,48626690410.0
Giảm khác,Giảm khác,Giảm khác,-,(1.674),-,-,-,-,(1.674),,-1674.0,,,,,-1674.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.600.000.000.000,-,15.177.859.740,7.588.929.869,624.167.654.292,210.634.385.388,2.457.568.829.289,1600000000000.0,,15177859740.0,7588929869.0,624167654292.0,210634385388.0,2457568829289.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,506.343.401.394,4.542.001.777,510.885.403.171,,,,,506343401394.0,4542001777.0,510885403171.0
Chia cổ tức (i),Chia cổ tức (i),Chia cổ tức (i),-,-,-,-,(256.000.000.000),-,(256.000.000.000),,,,,-256000000000.0,,-256000000000.0
Trích quỹ khen thưởng phúc lợi (ii),Trích quỹ khen thưởng phúc lợi (ii),Trích quỹ khen thưởng phúc lợi (ii),-,-,-,-,(23.047.992.170),(33.488.679),(23.081.480.849),,,,,-23047992170.0,-33488679.0,-23081480849.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,1.795.079.008,1.795.079.008,,,,,,1795079008.0,1795079008.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.600.000.000.000,-,15.177.859.740,7.588.929.869,851.463.063.516,216.937.977.494,2.691.167.830.619,1600000000000.0,,15177859740.0,7588929869.0,851463063516.0,216937977494.0,2691167830619.0
