row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty liên kết,
Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty liên kết,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty liên kết,
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty liên kết,
Công ty Cổ phần Đầu tư Văn Phú - IPS,Công ty Cổ phần Đầu tư Văn Phú - IPS,Công ty Cổ phần Đầu tư Văn Phú - IPS,Năm 2018 ông Tô Như Toàn là Chủ tịch HĐQT,
Công ty Cổ phần Đầu tư Văn Phú - Land,Công ty Cổ phần Đầu tư Văn Phú - Land,Công ty Cổ phần Đầu tư Văn Phú - Land,Ông Tô Như Thắng là Phó Tổng Giám đốc,
Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Ông Tô Như Thắng là Chủ tịch HĐQT,
Công ty Cổ phần Tư vấn Đầu tư và Phát triển kiến trúc I.D.E.A,Công ty Cổ phần Tư vấn Đầu tư và Phát triển kiến trúc I.D.E.A,Công ty Cổ phần Tư vấn Đầu tư và Phát triển kiến trúc I.D.E.A,Ông Tô Như Thắng là thành viên HĐQT,
Công ty Cổ phần Abey Holdings,Công ty Cổ phần Abey Holdings,Công ty Cổ phần Abey Holdings,Ông Ngô Đức Long là thành viên HĐQT,
Công ty Cổ phần BDSC,Công ty Cổ phần BDSC,Công ty Cổ phần BDSC,Ông Chu Đức Lượng là Chủ tịch HĐQT,
Công ty Cổ phần Tập đoàn Phú Mỹ,Công ty Cổ phần Tập đoàn Phú Mỹ,Công ty Cổ phần Tập đoàn Phú Mỹ,Ông Chu Đức Lượng là Chủ tịch HĐQT kiểm Tổng Giám đốc,
