row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,-,246.850.012,14.888.250.117,1.353.548.360,172.080.000,16.660.728.489,,246850012.0,14888250117.0,1353548360.0,172080000.0,16660728489.0
Tăng do mua công ty con,NGUYÊN GIÁ > Tăng do mua công ty con,Tăng do mua công ty con,2.004.387.000,144.090.909,36.174.555,34.000.000,242.970.000,2.461.622.464,2004387000.0,144090909.0,36174555.0,34000000.0,242970000.0,2461622464.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,7.246.702.682,1.767.626.000,126.544.215,9.140.872.897,,,7246702682.0,1767626000.0,126544215.0,9140872897.0
Đầu tư xây dựng cơ bảnhoàn thành (*),NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành (*),Đầu tư xây dựng cơ bảnhoàn thành (*),586.197.642.965,5.469.853.015,-,-,9.038.686.530,600.706.182.510,586197642965.0,5469853015.0,,,9038686530.0,600706182510.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.474.287.273),-,-,(1.474.287.273),,,-1474287273.0,,,-1474287273.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(3.897.996.411),-,-,-,-,(3.897.996.411),-3897996411.0,,,,,-3897996411.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,584.304.033.554,5.860.793.936,20.696.840.081,3.155.174.360,9.580.280.745,623.597.122.676,584304033554.0,5860793936.0,20696840081.0,3155174360.0,9580280745.0,623597122676.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,-,114.102.189,6.237.231.887,964.929.812,34.790.000,7.351.053.888,,114102189.0,6237231887.0,964929812.0,34790000.0,7351053888.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,1.517.103.750,184.707.940,3.001.589.302,504.932.277,211.083.311,5.419.416.580,1517103750.0,184707940.0,3001589302.0,504932277.0,211083311.0,5419416580.0
Tăng do mua công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do mua công ty con,Tăng do mua công ty con,-,91.699.254,18.499.610,29.804.451,20.123.749,160.127.064,,91699254.0,18499610.0,29804451.0,20123749.0,160127064.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(350.055.857),-,-,(350.055.857),,,-350055857.0,,,-350055857.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.517.103.750,390.509.383,8.907.264.942,1.499.666.540,265.997.060,12.580.541.675,1517103750.0,390509383.0,8907264942.0,1499666540.0,265997060.0,12580541675.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,-,132.747.823,8.651.018.230,388.618.548,137.290.000,9.309.674.601,,132747823.0,8651018230.0,388618548.0,137290000.0,9309674601.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,582.786.929.804,5.470.284.553,11.789.575.139,1.655.507.820,9.314.283.685,611.016.581.001,582786929804.0,5470284553.0,11789575139.0,1655507820.0,9314283685.0,611016581001.0
