row_label_raw,row_label_full,Cho vay các bên liên quan(Thuyết minh số 34) (i),Số cuối năm > 1.155.353.634.246,VND Số đầu năm > 1.439.110.000.000,numeric__Số cuối năm > 1.155.353.634.246,numeric__VND Số đầu năm > 1.439.110.000.000
Cho vay các bên khác (ii),Cho vay các bên khác (ii),Cho vay các bên khác (ii),291.570.694.445,591.573.588.834,291570694445.0,591573588834.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.446.924.328.691,2.030.683.588.834,1446924328691.0,2030683588834.0
