row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,788.219.626.607,778.741.752.189,(858.592.976.466),363.037.529.963,1.071.405.932.293,788219626607.0,778741752189.0,-858592976466.0,363037529963.0,1071405932293.0
Vay cá nhân và tổ chức(Thuyết minh số 25.3),Vay cá nhân và tổ chức(Thuyết minh số 25.3),Vay cá nhân và tổ chức(Thuyết minh số 25.3),346.160.996.983,424.185.293.014,(258.771.072.937),-,511.575.217.060,346160996983.0,424185293014.0,-258771072937.0,,511575217060.0
Vay ngắn hạn ngân hàng(Thuyết minh số 25.1),Vay ngắn hạn ngân hàng(Thuyết minh số 25.1),Vay ngắn hạn ngân hàng(Thuyết minh số 25.1),184.598.702.023,354.556.459.175,(301.091.607.446),-,238.063.553.752,184598702023.0,354556459175.0,-301091607446.0,,238063553752.0
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,80.000.000.000,-,(80.000.000.000),-,-,80000000000.0,,-80000000000.0,,
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 25.2),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 25.2),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 25.2),176.830.581.321,-,(217.607.362.714),361.750.069.717,320.973.288.324,176830581321.0,,-217607362714.0,361750069717.0,320973288324.0
Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 25.4),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 25.4),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 25.4),629.346.280,-,(1.122.933.369),1.287.460.246,793.873.157,629346280.0,,-1122933369.0,1287460246.0,793873157.0
Dài hạn,Dài hạn,Dài hạn,777.851.644.675,476.974.400.000,(53.846.153.842),(363.037.529.963),837.942.360.870,777851644675.0,476974400000.0,-53846153842.0,-363037529963.0,837942360870.0
Vay dài hạn ngân hàng(Thuyết minh số 25.2),Vay dài hạn ngân hàng(Thuyết minh số 25.2),Vay dài hạn ngân hàng(Thuyết minh số 25.2),777.014.768.752,475.000.000.000,(53.846.153.842),(361.750.069.717),836.418.545.193,777014768752.0,475000000000.0,-53846153842.0,-361750069717.0,836418545193.0
Nợ thuê tài chính dài hạn(Thuyết minh số 25.4),Nợ thuê tài chính dài hạn(Thuyết minh số 25.4),Nợ thuê tài chính dài hạn(Thuyết minh số 25.4),836.875.923,1.974.400.000,-,(1.287.460.246),1.523.815.677,836875923.0,1974400000.0,,-1287460246.0,1523815677.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.566.071.271.282,1.255.716.152.189,(912.439.130.308),-,1.909.348.293.163,1566071271282.0,1255716152189.0,-912439130308.0,,1909348293163.0
Trong đó:Vay từ bên khác,Trong đó:Vay từ bên khác,Trong đó:Vay từ bên khác,1.558.771.271.282,,,,1.831.801.793.163,1558771271282.0,,,,1831801793163.0
Vay từ bên liên quan(Thuyết minh số 34),Vay từ bên liên quan(Thuyết minh số 34),Vay từ bên liên quan(Thuyết minh số 34),7.300.000.000,,,,77.546.500.000,7300000000.0,,,,77546500000.0
