row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Phần mềmvi tính,Tài sản khác,VNDTổng cộng,numeric__Quyềnsử dụng đất,numeric__Phần mềmvi tính,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,209.629.895.999,17.954.013.213,3.966.871.000,231.550.780.212,209629895999.0,17954013213.0,3966871000.0,231550780212.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,86.962.500,-,86.962.500,,86962500.0,,86962500.0
Xây dựng cơ bản hoàn thành,Nguyên giá: > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,-,2.466.900.000,-,2.466.900.000,,2466900000.0,,2466900000.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.506.127.097),-,(3.506.127.097),,-3506127097.0,,-3506127097.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,209.629.895.999,17.001.748.616,3.966.871.000,230.598.515.615,209629895999.0,17001748616.0,3966871000.0,230598515615.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,979.166.500,-,979.166.500,,979166500.0,,979166500.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,18.627.074.633,8.224.794.244,2.308.838.604,29.160.707.481,18627074633.0,8224794244.0,2308838604.0,29160707481.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,3.684.959.820,2.102.204.932,379.009.923,6.166.174.675,3684959820.0,2102204932.0,379009923.0,6166174675.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.506.127.097),-,(3.506.127.097),,-3506127097.0,,-3506127097.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,22.312.034.453,6.820.872.079,2.687.848.527,31.820.755.059,22312034453.0,6820872079.0,2687848527.0,31820755059.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,191.002.821.366,9.729.218.969,1.658.032.396,202.390.072.731,191002821366.0,9729218969.0,1658032396.0,202390072731.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,187.317.861.546,10.180.876.537,1.279.022.473,198.777.760.556,187317861546.0,10180876537.0,1279022473.0,198777760556.0
Trong đó:Tài sân sử dụng để thế chấp (Thuyết minh số 25),Giá trị còn lại: > Trong đó:Tài sân sử dụng để thế chấp (Thuyết minh số 25),Trong đó:Tài sân sử dụng để thế chấp (Thuyết minh số 25),90.175.781.818,-,-,90.175.781.818,90175781818.0,,,90175781818.0
