row_label_raw,row_label_full,Đầu tư vào công ty liên kết (Thuyết minh số 17.1) > Đầu tư dài hạn khác (Thuyết minh số 17.2) > Đầu tư nắm giữ đến ngày đáo hạn(Thuyết minh số 17.3),Số cuối năm > 116.481.688.431 > 883.702.387.584 > 5.000.000.000,VND Số đầu năm > 114.893.304.688 > 755.519.262.584 > 5.000.000.000,numeric__Số cuối năm > 116.481.688.431 > 883.702.387.584 > 5.000.000.000,numeric__VND Số đầu năm > 114.893.304.688 > 755.519.262.584 > 5.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.005.184.076.015,875.412.567.272,1005184076015.0,875412567272.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(659.775.391),(591.543.980),-659775391.0,-591543980.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.004.524.300.624,874.821.023.292,1004524300624.0,874821023292.0
