row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập (*),Thu nhập (*)_1,numeric__Chức vụ,numeric__Thu nhập (*),numeric__Thu nhập (*)_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Bà Huỳnh Bích Ngọc,Tên > Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Chủ tịch HĐQT từ ngày 25 tháng 4 năm 2022,800.000.000,-,,800000000.0,
Bà Nguyễn Thùy Vân,Tên > Bà Nguyễn Thùy Vân,Bà Nguyễn Thùy Vân,Chủ tịch HĐQT đến ngày 24 tháng 4 năm 2022,1.184.048.000,1.233.333.333,,1184048000.0,1233333333.0
Ông Võ Quốc Khánh,Tên > Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Phó Chủ tịch HĐQT kiểm Tổng Giám đốc,3.453.950.156,1.841.008.465,,3453950156.0,1841008465.0
Ông Đăng Hồng Anh,Tên > Ông Đăng Hồng Anh,Ông Đăng Hồng Anh,Phó Chủ tịch HĐQT từ ngày 25 tháng 4 năm 2022,4.027.299.080,-,,4027299080.0,
Ông Bùi Tiến Thắng,Tên > Ông Bùi Tiến Thắng,Ông Bùi Tiến Thắng,Phó Chủ tịch HĐQT đến ngày 26 tháng 4 năm 2021,-,166.666.668,,,166666668.0
Ông Nguyễn Thành Chương,Tên > Ông Nguyễn Thành Chương,Ông Nguyễn Thành Chương,Thành viên độc lập HĐQT,399.999.996,366.666.663,,399999996.0,366666663.0
Ông Hoàng Mạnh Tiến,Tên > Ông Hoàng Mạnh Tiến,Ông Hoàng Mạnh Tiến,Thành viên độc lập HĐQT kiểm Chủ tịch UBKT,399.999.996,299.999.997,,399999996.0,299999997.0
Bà Trần Diệp Phương Nhi,Tên > Bà Trần Diệp Phương Nhi,Bà Trần Diệp Phương Nhi,Thành viên HĐQT kiểm thành viên UBKT,222.222.224,500.000.004,,222222224.0,500000004.0
Bà Trần Thiện Thanh Thùy,Tên > Bà Trần Thiện Thanh Thùy,Bà Trần Thiện Thanh Thùy,Thành viên độc lập HĐQT kiểm thành viên UBKT đến ngày 26 tháng 4 năm 2021,-,66.666.666,,,66666666.0
Ông Vũ Quốc Thái,Tên > Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HĐQT đến ngày 26 tháng 4 năm 2021,-,133.333.332,,,133333332.0
Bà Lê Thị Xuân Đức,Tên > Bà Lê Thị Xuân Đức,Bà Lê Thị Xuân Đức,Thành viên UBKT đến ngày 26 tháng 4 năm 2021,-,186.092.231,,,186092231.0
,,,,10.487.519.452,4.793.767.359,,10487519452.0,4793767359.0
