row_label_raw,row_label_full,Bên cho vay,Lãi suất%/năm,Số cuối nămVND,Số đầu nămVND,numeric__Lãi suất%/năm,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Các cá nhân,Các cá nhân,Các cá nhân,"7,5-11,0",354.669.058.406,338.860.996.983,,354669058406.0,338860996983.0
Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,,,,,,
Thành Thành Công,Công ty Cổ phần Đầu tư > Thành Thành Công,Thành Thành Công,"9,0-12,0",58.700.000.000,-,,58700000000.0,
Công ty Cổ phần Thương mại,Công ty Cổ phần Thương mại,Công ty Cổ phần Thương mại,,,-,,,
Xây dựng Dịch vụ Phúc Bảo Minh,Công ty Cổ phần Thương mại > Xây dựng Dịch vụ Phúc Bảo Minh,Xây dựng Dịch vụ Phúc Bảo Minh,"10,5",48.640.000.000,,10.5,48640000000.0,
Công ty TNHH Chứng Khoán,Công ty TNHH Chứng Khoán,Công ty TNHH Chứng Khoán,,,-,,,
Mirae Asset,Công ty TNHH Chứng Khoán > Mirae Asset,Mirae Asset,"7,5",30.386.158.654,,7.5,30386158654.0,
Công ty Đặng Huỳnh,Công ty TNHH Chứng Khoán > Công ty Đặng Huỳnh,Công ty Đặng Huỳnh,"13,0",12.000.000.000,-,13.0,12000000000.0,
Công ty Cổ phần Thành Thành Nam,Công ty TNHH Chứng Khoán > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,"10,5",5.000.000.000,-,10.5,5000000000.0,
Công ty Cổ phần May Tiến Phát,Công ty TNHH Chứng Khoán > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,"10,5",2.180.000.000,-,10.5,2180000000.0,
Công ty Cổ phần Đầu tư Địa ốcKim Thành,Công ty TNHH Chứng Khoán > Công ty Cổ phần Đầu tư Địa ốcKim Thành,Công ty Cổ phần Đầu tư Địa ốcKim Thành,"4,5",-,7.300.000.000,4.5,,7300000000.0
TỔNG CỘNG,Công ty TNHH Chứng Khoán > TỔNG CỘNG,TỔNG CỘNG,,511.575.217.060,346.160.996.983,,511575217060.0,346160996983.0
