row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuậnsau thuế chưaphân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuậnsau thuế chưaphân phối,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.663.563.030.000,333.257.781.211,150.121.777.502,24.890.292.522,661.111.130.027,4.832.944.011.262,3663563030000.0,333257781211.0,150121777502.0,24890292522.0,661111130027.0,4832944011262.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,50.165.262.336,50.165.262.336,,,,,50165262336.0,50165262336.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,6.435.551.893,-,(6.435.551.893),-,,,6435551893.0,,-6435551893.0,
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(18.002.120.370),(18.002.120.370),,,,,-18002120370.0,-18002120370.0
Thay đổi tỷ lệ sở hữu công ty controng năm,Năm nay > Thay đổi tỷ lệ sở hữu công ty controng năm,Thay đổi tỷ lệ sở hữu công ty controng năm,-,-,-,-,(14.592.597),(14.592.597),,,,,-14592597.0,-14592597.0
Chia cổ tức bằng cổ phiếu (*),Năm nay > Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),293.054.720.000,(154.000.000),-,-,(293.054.720.000),(154.000.000),293054720000.0,-154000000.0,,,-293054720000.0,-154000000.0
Chi phí hoạt động của HĐQT,Năm nay > Chi phí hoạt động của HĐQT,Chi phí hoạt động của HĐQT,-,-,-,-,(2.250.000.000),(2.250.000.000),,,,,-2250000000.0,-2250000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.956.617.750.000,333.103.781.211,156.557.329.395,24.890.292.522,391.519.407.503,4.862.688.560.631,3956617750000.0,333103781211.0,156557329395.0,24890292522.0,391519407503.0,4862688560631.0
