row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty Cổ phầnToàn Hải Vân,Người mua trả tiền trước ngắn hạn > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công ty cùngquản lý chủchốt,Bán hàng hóavà dịch vụ,22.990.970.956,-,,,22990970956.0,
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả khác > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,"Mua hàng hóa, dịch vụ",35.808.835.350,-,,,35808835350.0,
Công ty Cổ phầnMay Tiến Phát,Phải trả khác > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công tyliên kết,Khác,236.923.198,-,,,236923198.0,
Công ty Kim Thành,Phải trả khác > Công ty Kim Thành,Công ty Kim Thành,Công ty liênkết đến ngày11 tháng 8năm 2022,Lãi vay,-,1.063.042.465,,,,1063042465.0
,,,,,36.045.758.548,1.063.042.465,,,36045758548.0,1063042465.0
Vay,Vay,Vay,Vay,Vay,Vay,Vay,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Vay > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Vay,58.700.000.000,,,,58700000000.0,
Bà Huỳnh Bích Ngọc,Vay > Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Chủ tịchHĐQT,Vay,16.666.500.000,-,,,16666500000.0,
Công ty Cổ phầnMay Tiến Phát,Vay > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công tyliên kết,Vay,2.180.000.000,-,,,2180000000.0,
Công ty Kim Thành,Vay > Công ty Kim Thành,Công ty Kim Thành,Công ty liênkết đến ngày11 tháng 8năm 2022,Vay,-,7.300.000.000,,,,7300000000.0
,,,,,77.546.500.000,7.300.000.000,,,77546500000.0,7300000000.0
