row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,,,,
Công ty Cổ phầnMay Tiến Phát,Phải thu khác ngắn hạn > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công ty liên kết,Lãi cho vay,431.008.354.138,347.347.710.335,,,431008354138.0,347347710335.0
Công ty Cổ phầnToàn Hải Vân,Phải thu khác ngắn hạn > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công ty có cùngQuản lý chủ chốt,Lãi cho vay,53.879.261.855,24.623.764.376,,,53879261855.0,24623764376.0
Bà Nguyễn Thùy Vân,Phải thu khác ngắn hạn > Bà Nguyễn Thùy Vân,Bà Nguyễn Thùy Vân,Chủ tịch HĐQT đến ngày 25 tháng 4 năm 2022,Ủy thác đầu tư,38.394.100.405,34.481.720.073,,,38394100405.0,34481720073.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu khác ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Khác,1.825.177.975,967.177.974,,,1825177975.0,967177974.0
Công ty Cổ phần Đầu tư SVG,Phải thu khác ngắn hạn > Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Công ty liên kết,Khác,20.000.000,-,,,20000000.0,
,,,,,525.126.894.373,407.420.372.758,,,525126894373.0,407420372758.0
Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,,,,
Công ty Cổ phầnToàn Hải Vân,Phải thu khác dài hạn > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công ty cùng quản lý chủ chốt,Góp vốn hợp tác kinh doanh,1.003.653.846.155,697.000.000.000,,,1003653846155.0,697000000000.0
Công ty Cổ phần Đầu tư Xây dựng Long An - IDICO,Phải thu khác dài hạn > Công ty Cổ phần Đầu tư Xây dựng Long An - IDICO,Công ty Cổ phần Đầu tư Xây dựng Long An - IDICO,Công ty liên kết,Góp vốn hợp tác kinh doanh,44.400.000.000,44.400.000.000,,,44400000000.0,44400000000.0
,,,,,1.048.053.846.155,741.400.000.000,,,1048053846155.0,741400000000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,"Mua hàng hóa, dịch vụ",26.598.716.558,7.368.265.410,,,26598716558.0,7368265410.0
Công ty Cổ phầnToàn Hải Vân,Phải trả người bán ngắn hạn > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công ty cùng quản lý chủ chốt,"Mua hàng hóa, dịch vụ",4.372.505.921,-,,,4372505921.0,
,,,,,30.971.222.479,7.368.265.410,,,30971222479.0,7368265410.0
