row_label_raw,row_label_full,Công ty,Địa điểm,Tình trạng,Ngành nghề kinh doanh,Tỷ lệ lợi ích (*) %,Tỷ lệ biểu quyết (*) %,numeric__Địa điểm,numeric__Tình trạng,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích (*) %,numeric__Tỷ lệ biểu quyết (*) %
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty con > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Thành phố Hồ Chí Minh,Đang hoạt động,Kinh doanh bất động sản,"100,00","100,00",,,,100.0,100.0
Công ty Cổ phần Đầu tư Phát triển Bắt động sản Đông Sài Gòn,Công ty con > Công ty Cổ phần Đầu tư Phát triển Bắt động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bắt động sản Đông Sài Gòn,Thành phố Hồ Chí Minh,Đang hoạt động,Bắt động sản,"100,00","100,00",,,,100.0,100.0
Công ty Cổ phần Thương Tín Tàu Cước,Công ty con > Công ty Cổ phần Thương Tín Tàu Cước,Công ty Cổ phần Thương Tín Tàu Cước,Thành phố Hồ Chí Minh,Đang hoạt động,Xây dựng và bất động sản,"99,90","99,90",,,,99.9,99.9
Công ty TNHH Dịch vụ Quản lý Bắt động sản Sài Gòn Thương Tín,Công ty con > Công ty TNHH Dịch vụ Quản lý Bắt động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bắt động sản Sài Gòn Thương Tín,Thành phố Hồ Chí Minh,Đang hoạt động,Kinh doanh bất động sản,"50,00","50,00",,,,50.0,50.0
Công ty Cổ phần Mai Lan,Công ty con > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Thành phố Hồ Chí Minh,Đang hoạt động,Dịch vụ,"90,17","90,17",,,,90.17,90.17
Công ty TNHH Thương Tín – CJ Cầu Tre,Công ty con > Công ty TNHH Thương Tín – CJ Cầu Tre,Công ty TNHH Thương Tín – CJ Cầu Tre,Thành phố Hồ Chí Minh,Đang hoạt động,Dịch vụ,"74,00","74,00",,,,74.0,74.0
"Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản Hùng Anh Năm1 (""Công ty Hùng Anh Năm"")","Công ty con > Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản Hùng Anh Năm1 (""Công ty Hùng Anh Năm"")","Công ty Cổ phần Đầu tư Kinh doanh Bắt động sản Hùng Anh Năm1 (""Công ty Hùng Anh Năm"")",Thành phố Hồ Chí Minh,Đang hoạt động,Bắt động sản,"99,99","100,00",,,,99.99,100.0
Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty con > Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Đà Nẵng,Đang hoạt động,Bắt động sản và dịch vụ thương mại,"99,84","99,85",,,,99.84,99.85
Công ty TNHH MTV TTC Land Retail Management,Công ty con > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Thành phố Hồ Chí Minh,Đang hoạt động,Kinh doanh bất động sản,"100,00","100,00",,,,100.0,100.0
Công ty TNHH MTV Đầu tư Bắt động sản TTC Land Phú Quốc,Công ty con > Công ty TNHH MTV Đầu tư Bắt động sản TTC Land Phú Quốc,Công ty TNHH MTV Đầu tư Bắt động sản TTC Land Phú Quốc,Kiên Giang,Đang hoạt động,Bắt động sản,"100,00","100,00",,,,100.0,100.0
Công ty Cổ phần Đầu tư Bắt động sản TTC Hưng Điền,Công ty con > Công ty Cổ phần Đầu tư Bắt động sản TTC Hưng Điền,Công ty Cổ phần Đầu tư Bắt động sản TTC Hưng Điền,Thành phố Hồ Chí Minh,Đang hoạt động,Bắt động sản,"61,00","61,00",,,,61.0,61.0
