row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,249.090.909,1.262.542.206,1.160.045.454,13.159.647.880,15.831.326.449,249090909.0,1262542206.0,1160045454.0,13159647880.0,15831326449.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,-,89.636.364,89.636.364,,,,89636364.0,89636364.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(249.090.909),(653.517.216),-,(816.576.390),(1.719.184.515),-249090909.0,-653517216.0,,-816576390.0,-1719184515.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,-,609.024.990,1.160.045.454,12.432.707.854,14.201.778.298,,609024990.0,1160045454.0,12432707854.0,14201778298.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,609.024.990,-,7.685.539.490,8.294.564.480,,609024990.0,,7685539490.0,8294564480.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,249.090.909,1.233.897.319,660.846.568,11.277.206.144,13.421.040.940,249090909.0,1233897319.0,660846568.0,11277206144.0,13421040940.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,28.644.887,193.340.905,989.883.605,1.211.869.397,,28644887.0,193340905.0,989883605.0,1211869397.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(249.090.909),(653.517.216),-,(816.576.390),(1.719.184.515),-249090909.0,-653517216.0,,-816576390.0,-1719184515.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,-,609.024.990,854.187.473,11.450.513.359,12.913.725.822,,609024990.0,854187473.0,11450513359.0,12913725822.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,28.644.887,499.198.886,1.882.441.736,2.410.285.509,,28644887.0,499198886.0,1882441736.0,2410285509.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,-,305.857.981,982.194.495,1.288.052.476,,,305857981.0,982194495.0,1288052476.0
