row_label_raw,row_label_full,Giá trị đầu tư > Số đầu năm > Tăng trong năm > Giảm trong năm > Số cuối năm,Năm nay > Giá trị đầu tư > 141.722.030.907 > - > (9.600.000.000) > 132.122.030.907,Năm trước > Giá trị đầu tư > 196.534.048.907 > 39.587.982.000 > (94.400.000.000) > 141.722.030.907,numeric__Năm nay > Giá trị đầu tư > 141.722.030.907 > - > (9.600.000.000) > 132.122.030.907,numeric__Năm trước > Giá trị đầu tư > 196.534.048.907 > 39.587.982.000 > (94.400.000.000) > 141.722.030.907
Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết,,
Số đầu năm,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết > Số đầu năm,Số đầu năm,(26.828.726.219),(38.950.586.114),-26828726219.0,-38950586114.0
Lợi nhuận từ các công ty liên kết,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết > Lợi nhuận từ các công ty liên kết,Lợi nhuận từ các công ty liên kết,14.244.588.846,15.737.135.324,14244588846.0,15737135324.0
Giải thể công ty liên kết,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết > Giải thể công ty liên kết,Giải thể công ty liên kết,637.394.897,-,637394897.0,
Lợi nhuận từ chuyển nhượng cổ phần công ty liên kết,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết > Lợi nhuận từ chuyển nhượng cổ phần công ty liên kết,Lợi nhuận từ chuyển nhượng cổ phần công ty liên kết,-,78.324.571,,78324571.0
Cổ tức được chia trong năm,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết > Cổ tức được chia trong năm,Cổ tức được chia trong năm,(3.693.600.000),(3.693.600.000),-3693600000.0,-3693600000.0
Số cuối năm,Phần lũy kế lời (lỗ) sau khi đầu tư vào công ty liên kết > Số cuối năm,Số cuối năm,(15.640.342.476),(26.828.726.219),-15640342476.0,-26828726219.0
Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,,
Số đầu năm,Giá trị đầu tư còn lại > Số đầu năm,Số đầu năm,114.893.304.688,157.583.462.793,114893304688.0,157583462793.0
Số cuối năm,Giá trị đầu tư còn lại > Số cuối năm,Số cuối năm,116.481.688.431,114.893.304.688,116481688431.0,114893304688.0
