row_label_raw,row_label_full,col_0,"VNDNhà cửa,vật kiến trúc","numeric__VNDNhà cửa,vật kiến trúc"
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,674.101.555.753,674101555753.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,316.044.724.624,316044724624.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,990.146.280.377,990146280377.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,69.554.222.449,69554222449.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,28.467.036.801,28467036801.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,98.021.259.250,98021259250.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,604.547.333.304,604547333304.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,892.125.021.127,892125021127.0
