row_label_raw,row_label_full,Công ty Cổ phầnMay Tiến Phát,Công tyliên kết,Cho vay 1.123.035.000.000,Cho vay 1.123.035.000.000_1,1.376.230.000.000,numeric__Công tyliên kết,numeric__Cho vay 1.123.035.000.000,numeric__Cho vay 1.123.035.000.000_1,numeric__1.376.230.000.000
Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công ty cócùngQuản lý chủchốt,Cho vay,23.738.634.246,54.300.000.000,,,23738634246.0,54300000000.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Cho vay,8.580.000.000,8.580.000.000,,,8580000000.0,8580000000.0
,,,,,1.155.353.634.246,1.439.110.000.000,,,1155353634246.0,1439110000000.0
