row_label_raw,row_label_full,col_0,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Băng cân đối kế toán hợp nhất,numeric__Băng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chi phí phát hành trái phiếu,Tài sản thuế thu nhập hoãn lại > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,2.520.303.014,2.520.303.012,-,2.520.303.012,2520303014.0,2520303012.0,,2520303012.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Lợi nhuận chưa thực hiện,Thuế thu nhập hoãn lại phải trả > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,20.622.838.469,21.703.150.506,(1.080.312.037),(3.909.601.156),20622838469.0,21703150506.0,-1080312037.0,-3909601156.0
Dự phòng giảm giá đầu tư vào các công ty con và các công ty liên kết,Thuế thu nhập hoãn lại phải trả > Dự phòng giảm giá đầu tư vào các công ty con và các công ty liên kết,Dự phòng giảm giá đầu tư vào các công ty con và các công ty liên kết,(12.017.710.311),(19.695.652.592),7.677.942.281,2.959.742.258,-12017710311.0,-19695652592.0,7677942281.0,2959742258.0
Chênh lệch giá trị hợp lý trong hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả > Chênh lệch giá trị hợp lý trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý trong hợp nhất kinh doanh,(101.161.030.113),(101.161.030.113),-,-,-101161030113.0,-101161030113.0,,
,,,(92.555.901.955),(99.153.532.199),,,-92555901955.0,-99153532199.0,,
Thuế thu nhập hoãn lại phải trả thuần,Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả thuần,Thuế thu nhập hoãn lại phải trả thuần,(90.035.598.941),(96.633.229.185),,,-90035598941.0,-96633229185.0,,
Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất,6.597.630.244,1.570.444.114,,,6597630244.0,1570444114.0
