row_label_raw,row_label_full,Công ty,Địa điểm,Tình trạng,Ngành nghề kinh doanh,Tỷ lệ lợi ích (*) %,Tỷ lệ biểu quyết (*) %,numeric__Địa điểm,numeric__Tình trạng,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích (*) %,numeric__Tỷ lệ biểu quyết (*) %
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
Công ty Cổ phầnMay Tiến Phát,Công ty liên kết > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Thành phố Hồ Chí Minh,Đang hoạt động,Bắt động sản và dịch vụ thương mại,"22,51","22,51",,,,22.51,22.51
Công ty Cổ phần Đầu tư Xây dựngLong An - IDICO,Công ty liên kết > Công ty Cổ phần Đầu tư Xây dựngLong An - IDICO,Công ty Cổ phần Đầu tư Xây dựngLong An - IDICO,Thành phố Hồ Chí Minh,Đang hoạt động,Bắt động sản và dịch vụ thương mại,"23,98","24,00",,,,23.98,24.0
Công ty Cổ phần Đầu tưSVG (*),Công ty liên kết > Công ty Cổ phần Đầu tưSVG (*),Công ty Cổ phần Đầu tưSVG (*),Thành phố Hồ Chí Minh,Đang hoạt động,Sản xuất và xây dựng,"50,00","49,89",,,,50.0,49.89
