row_label_raw,row_label_full,Ông Nguyễn Văn Đạt,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Phạm Trọng Hòa,Ông Phạm Trọng Hòa,Ông Phạm Trọng Hòa,Phó Tổng Giám đốc,
Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Phó Tổng Giám đốc,
