row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
T.A.M,Phải thu ngắn hạn của khách hàng > T.A.M,T.A.M,Bên liên quan của thành viên HĐQT,Chuyển nhượng cổ phần Mua căn hộ văn phòng,55.000.000.00022.089.172.092,60.000.000.000-,,,5.500000000022089e+21,
Bà Đoàn Thị Tráng,Phải thu ngắn hạn của khách hàng > Bà Đoàn Thị Tráng,Bà Đoàn Thị Tráng,Bên liên quan của thành viên HĐQT,Chuyển nhượng bất động sản,32.648.000.000,-,,,32648000000.0,
Trường Phát Lộc,Phải thu ngắn hạn của khách hàng > Trường Phát Lộc,Trường Phát Lộc,Bên liên quan của thành viên HĐQT,Cho thuê văn phòng,1.011.571.577,1.052.081.577,,,1011571577.0,1052081577.0
ĐK Phú Quốc,Phải thu ngắn hạn của khách hàng > ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Cung cấp dịch vụ,180.925.500,-,,,180925500.0,
,,,,,110.929.669.169,61.052.081.577,,,110929669169.0,61052081577.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,,,,
T.A.M,Phải thu dài hạn của khách hàng > T.A.M,T.A.M,Bên liên quan của thành viên HĐQT,Chuyển nhượng cổ phần,117.000.000.000,117.000.000.000,,,117000000000.0,117000000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Phú Hưng,Phải thu ngắn hạn khác > Phú Hưng,Phú Hưng,Công ty con,Tạm ứng,9.287.082.235,517.908.385.303,,,9287082235.0,517908385303.0
T.A.M,Phải thu ngắn hạn khác > T.A.M,T.A.M,Bên liên quan của thành viên HĐQT,Lãi HĐHTĐT,-,90.000.000.000,,,,90000000000.0
ĐK Phú Quốc,Phải thu ngắn hạn khác > ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Tạm ứng,38.627.211.000,-,,,38627211000.0,
Coinin,Phải thu ngắn hạn khác > Coinin,Coinin,Công ty con,Tạm ứng,2.242.605.016,-,,,2242605016.0,
Công trình PDP,Phải thu ngắn hạn khác > Công trình PDP,Công trình PDP,Bên liên quan,Tạm ứng,4.609.000,-,,,4609000.0,
Trường Phát Lộc,Phải thu ngắn hạn khác > Trường Phát Lộc,Trường Phát Lộc,Bên liên quan của thành viên HĐQT,Lãi HĐHTĐT,80.000.000.000,-,,,80000000000.0,
,,,,,130.161.507.251,607.908.385.303,,,130161507251.0,607908385303.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Trường Phát Lộc,Phải thu dài hạn khác > Trường Phát Lộc,Trường Phát Lộc,Bên liên quan của thành viên HĐQT,Góp vốn HĐHTĐT,126.400.000.000,126.400.000.000,,,126400000000.0,126400000000.0
T.A.M,Phải thu dài hạn khác > T.A.M,T.A.M,Bên liên quan của thành viên HĐQT,Góp vốn HĐHTĐT,100.939.751.900,100.939.751.900,,,100939751900.0,100939751900.0
ĐK Phú Quốc,Phải thu dài hạn khác > ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Tạm ứng,38.627.211.000,-,,,38627211000.0,
,,,,,265.966.962.900,227.339.751.900,,,265966962900.0,227339751900.0
