row_label_raw,row_label_full,col_0,Số cuối năm > % sở hữu và quyền biểu quyết,Số cuối năm > Số tiền VND,Số đầu năm > % sở hữu và quyền biểu quyết,Số đầu năm > Số tiền VND,numeric__Số cuối năm > % sở hữu và quyền biểu quyết,numeric__Số cuối năm > Số tiền VND,numeric__Số đầu năm > % sở hữu và quyền biểu quyết,numeric__Số đầu năm > Số tiền VND
ĐK Phú Quốc (i),ĐK Phú Quốc (i),ĐK Phú Quốc (i),99,393.624.000.000,-,-,99.0,393624000000.0,,
"Công ty TNHH Đầu tư Xây dựng hạ tầng kỹ thuật Coinin (""Coinin"") (ii)","Công ty TNHH Đầu tư Xây dựng hạ tầng kỹ thuật Coinin (""Coinin"") (ii)","Công ty TNHH Đầu tư Xây dựng hạ tầng kỹ thuật Coinin (""Coinin"") (ii)",80,246.000.000.000,-,-,80.0,246000000000.0,,
"Công ty TNHH Một Thành viên Đầu tư Phát Đạt (""Đầu tư Phát Đạt"") (iii)","Công ty TNHH Một Thành viên Đầu tư Phát Đạt (""Đầu tư Phát Đạt"") (iii)","Công ty TNHH Một Thành viên Đầu tư Phát Đạt (""Đầu tư Phát Đạt"") (iii)",100,131.000.000.000,100,131.000.000.000,100.0,131000000000.0,100.0,131000000000.0
Phú Hưng (iv),Phú Hưng (iv),Phú Hưng (iv),100,-,-,-,100.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,770.624.000.000,,131.000.000.000,,770624000000.0,,131000000000.0
