row_label_raw,row_label_full,Khách sạn và Khu nghĩ dưỡng năm sao,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Phú Quốc,Phú Quốc,Phú Quốc,53.732.479.734,53.732.479.734,53732479734.0,53732479734.0
Bệnh viện chấn thương chính hình,Bệnh viện chấn thương chính hình,Bệnh viện chấn thương chính hình,7.171.734.009,6.214.296.380,7171734009.0,6214296380.0
Khác,Khác,Khác,6.063.373.915,6.964.883.891,6063373915.0,6964883891.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,66.967.587.658,66.911.660.005,66967587658.0,66911660005.0
