row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu,Doanh thu,Doanh thu,2.268.911.021.752,1.542.032.394.877,2268911021752.0,1542032394877.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,1.785.221.757.252,1.458.081.614.417,1785221757252.0,1458081614417.0
Doanh thu bán bất động sản khác,Trong đó: > Doanh thu bán bất động sản khác,Doanh thu bán bất động sản khác,407.213.263.593,57.046.019.669,407213263593.0,57046019669.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,68.848.360.907,20.522.095.795,68848360907.0,20522095795.0
Doanh thu cho thuê bất động sản đầu tư,Trong đó: > Doanh thu cho thuê bất động sản đầu tư,Doanh thu cho thuê bất động sản đầu tư,7.627.640.000,6.382.664.998,7627640000.0,6382664998.0
Các khoản giảm trừ doanh thu:,Trong đó: > Các khoản giảm trừ doanh thu:,Các khoản giảm trừ doanh thu:,(121.037.201.884),(215.406.237.704),-121037201884.0,-215406237704.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(120.895.496.884),(205.717.795.286),-120895496884.0,-205717795286.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(141.705.000),(9.688.442.418),-141705000.0,-9688442418.0
DOANH THU THUẦN,Trong đó: > DOANH THU THUẦN,DOANH THU THUẦN,2.147.873.819.868,1.326.626.157.173,2147873819868.0,1326626157173.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,1.664.184.555.366,1.302.369.759.342,1664184555366.0,1302369759342.0
Doanh thu bán bất động sản khác,Trong đó: > Doanh thu bán bất động sản khác,Doanh thu bán bất động sản khác,407.213.263.595,(1.528.362.960),407213263595.0,-1528362960.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,68.848.360.907,19.402.095.793,68848360907.0,19402095793.0
Doanh thu cho thuê bất động sản đầu tư,Trong đó: > Doanh thu cho thuê bất động sản đầu tư,Doanh thu cho thuê bất động sản đầu tư,7.627.640.000,6.382.664.998,7627640000.0,6382664998.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với bên khác,Trong đó: > Doanh thu với bên khác,Doanh thu với bên khác,2.084.122.006.833,1.339.991.381.288,2084122006833.0,1339991381288.0
Doanh thu với bên liên quan(Thuyết minh số 28),Trong đó: > Doanh thu với bên liên quan(Thuyết minh số 28),Doanh thu với bên liên quan(Thuyết minh số 28),63.751.813.035,(13.365.224.115),63751813035.0,-13365224115.0
