row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Nhà cửa và vật kiến trúc,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Nhà cửa và vật kiến trúc,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,120.446.972.991,69.217.297.281,189.664.270.272,120446972991.0,69217297281.0,189664270272.0
Dự án hoàn thành,Nguyên giá: > Dự án hoàn thành,Dự án hoàn thành,-,9.405.585.000,9.405.585.000,,9405585000.0,9405585000.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(113.140.000.000),(860.000.000),(114.000.000.000),-113140000000.0,-860000000.0,-114000000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,7.306.972.991,77.762.882.281,85.069.855.272,7306972991.0,77762882281.0,85069855272.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,-,(2.007.944.054),(2.007.944.054),,-2007944054.0,-2007944054.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,(1.630.674.222),(1.630.674.222),,-1630674222.0,-1630674222.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,372.481.764,372.481.764,,372481764.0,372481764.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,-,(3.266.136.512),(3.266.136.512),,-3266136512.0,-3266136512.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,120.446.972.991,67.209.353.227,187.656.326.218,120446972991.0,67209353227.0,187656326218.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,7.306.972.991,74.496.745.769,81.803.718.760,7306972991.0,74496745769.0,81803718760.0
