row_label_raw,row_label_full,col_0,Số đầu năm,Tăng,Giảm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng,numeric__Giảm,numeric__VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,42.296.256.485,114.724.540.728,(91.889.892.728),65.130.904.485,42296256485.0,114724540728.0,-91889892728.0,65130904485.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.042.522.396,8.475.681.748,(9.960.823.921),557.380.223,2042522396.0,8475681748.0,-9960823921.0,557380223.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,17.238.823,127.516.338.710,(87.139.830.895),40.393.746.638,17238823.0,127516338710.0,-87139830895.0,40393746638.0
Khác,Phải nộp > Khác,Khác,-,1.137.640.740,(1.137.640.740),-,,1137640740.0,-1137640740.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,44.356.017.704,251.854.201.926,(190.128.188.284),106.082.031.346,44356017704.0,251854201926.0,-190128188284.0,106082031346.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,35.800.350.006,51.525.002.660,(87.325.352.666),-,35800350006.0,51525002660.0,-87325352666.0,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.061.394.917,516.139.804,(9.577.534.721),-,9061394917.0,516139804.0,-9577534721.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,44.861.744.923,52.041.142.464,(96.902.887.387),-,44861744923.0,52041142464.0,-96902887387.0,
