row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Tỉnh trạng sở hữu,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Tỉnh trạng sở hữu,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỉnh trạng sở hữu,%,Giá gốc (VND),Dự phòng (VND) sở hữu,%,Giá gốc (VND),Dự phòng (VND),,,,,,,,
CTCP Thương mại Nguyễn Kim Đà Nẵng,Tên công ty > CTCP Thương mại Nguyễn Kim Đà Nẵng,CTCP Thương mại Nguyễn Kim Đà Nẵng,Kinh doanh bất động sản,Đang hoạt động,90,608.400.000.000,(28.103.673.632),90,608.400.000.000,(28.106.273.487),,,90.0,608400000000.0,-28103673632.0,90.0,608400000000.0,-28106273487.0
Công ty TNHH Đầu tư Phát Triển Bất động sản Hùng Anh Năm,Tên công ty > Công ty TNHH Đầu tư Phát Triển Bất động sản Hùng Anh Năm,Công ty TNHH Đầu tư Phát Triển Bất động sản Hùng Anh Năm,Kinh doanh bất động sản,Đang hoạt động,100,537.079.300.000,(18.751.278.658),100,537.079.300.000,(16.876.512.225),,,100.0,537079300000.0,-18751278658.0,100.0,537079300000.0,-16876512225.0
Công ty TNHH Thương Tín - CJ Cầu Tre,Tên công ty > Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Kinh doanh bất động sản,Đang hoạt động,74,444.000.000.000,-,"63,40",444.000.000.000,-,,,74.0,444000000000.0,,63.4,444000000000.0,
Công ty Cổ phần Thương Tín Tàu Cước,Tên công ty > Công ty Cổ phần Thương Tín Tàu Cước,Công ty Cổ phần Thương Tín Tàu Cước,Kinh doanh bất động sản,Đang hoạt động,"99,52",293.940.224.000,-,"92,20",293.940.224.000,-,,,99.52,293940224000.0,,92.2,293940224000.0,
Công ty Cổ phần Phát triển Địa ốc Đông Sài Gòn,Tên công ty > Công ty Cổ phần Phát triển Địa ốc Đông Sài Gòn,Công ty Cổ phần Phát triển Địa ốc Đông Sài Gòn,Kinh doanh bất động sản,Đang hoạt động,95,219.163.852.083,(61.973.252.578),"94,90",219.163.852.083,(76.586.406.392),,,95.0,219163852083.0,-61973252578.0,94.9,219163852083.0,-76586406392.0
Công ty Cổ phần Mai Lan,Tên công ty > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Cung cấp dịch vụ,Đang hoạt động,"90,07",145.869.243.328,-,"90,07",145.869.243.328,(88.455.898),,,90.07,145869243328.0,,90.07,145869243328.0,-88455898.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Tên công ty > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Cung cấp dịch vụ,Đang hoạt động,100,70.000.000.000,-,100,70.000.000.000,-,,,100.0,70000000000.0,,100.0,70000000000.0,
Công ty Cổ phần Năng lượng Thương Tín,Tên công ty > Công ty Cổ phần Năng lượng Thương Tín,Công ty Cổ phần Năng lượng Thương Tín,Kinh doanh bất động sản,Đang trong quả trình giải thể,52,18.104.940.000,(3.252.061.935),52,18.104.940.000,(3.252.595.842),,,52.0,18104940000.0,-3252061935.0,52.0,18104940000.0,-3252595842.0
Công ty Cổ phần Đầu tư BDS TTC Land Hưng Điền,Tên công ty > Công ty Cổ phần Đầu tư BDS TTC Land Hưng Điền,Công ty Cổ phần Đầu tư BDS TTC Land Hưng Điền,Kinh doanh bất động sản,Đang hoạt động,61,10.230.000.000,(16.738.678),-,-,-,,,61.0,10230000000.0,-16738678.0,,,
Công ty TNHH Quản lý Dịch vụ Địa ốc Sài Gòn Thương Tín,Tên công ty > Công ty TNHH Quản lý Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH Quản lý Dịch vụ Địa ốc Sài Gòn Thương Tín,Cung cấp dịch vụ,Đang hoạt động,50,5.000.000.000,(2.074.680.256),50,5.000.000.000,-,,,50.0,5000000000.0,-2074680256.0,50.0,5000000000.0,
Công ty TNHH MTV TTC Land Retail Management,Tên công ty > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Cung cấp dịch vụ,Đang hoạt động,100,1.300.000.000,-,100,700.000.000,-,,,100.0,1300000000.0,,100.0,700000000.0,
Công ty Cổ phần Đầu tư BDS TTC Land Long An,Tên công ty > Công ty Cổ phần Đầu tư BDS TTC Land Long An,Công ty Cổ phần Đầu tư BDS TTC Land Long An,Kinh doanh bất động sản,Đang hoạt động,98,1.220.000.000,(20.104.581),98,50.000.000,(8.566.493),,,98.0,1220000000.0,-20104581.0,98.0,50000000.0,-8566493.0
Công ty TNHH MTV Đầu tư BDS TTC Land Phú Quốc,Tên công ty > Công ty TNHH MTV Đầu tư BDS TTC Land Phú Quốc,Công ty TNHH MTV Đầu tư BDS TTC Land Phú Quốc,Kinh doanh bất động sản,Đang hoạt động,100,30.000.000,(26.367.357),-,-,-,,,100.0,30000000.0,-26367357.0,,,
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,,2.354.337.559.411,(114.218.157.675),,2.342.307.559.411,(124.918.810.337),,,,2354337559411.0,-114218157675.0,,2342307559411.0,-124918810337.0
