row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Vay,Vay,Vay,Vay,Vay,Vay,Vay,,,,
Công ty Cổ phần Đầu tư Tín Nghĩa – À Châu,Vay > Công ty Cổ phần Đầu tư Tín Nghĩa – À Châu,Công ty Cổ phần Đầu tư Tín Nghĩa – À Châu,Bên liên quan,Vay,59.750.000.000,-,,,59750000000.0,
CTCP Khu công nghiệp Thành Thành Công,Vay > CTCP Khu công nghiệp Thành Thành Công,CTCP Khu công nghiệp Thành Thành Công,Bên liên quan,Vay,30.000.000.000,-,,,30000000000.0,
Công ty Cổ phần Năng Lượng Thành Thành Công,Vay > Công ty Cổ phần Năng Lượng Thành Thành Công,Công ty Cổ phần Năng Lượng Thành Thành Công,Công ty con,Vay,12.749.700.000,12.749.700.000,,,12749700000.0,12749700000.0
Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Vay > Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty liên kết,Vay,9.500.000.000,9.500.000.000,,,9500000000.0,9500000000.0
Bùi Tiên Thắng,Vay > Bùi Tiên Thắng,Bùi Tiên Thắng,Phó chủ tịch HĐQT,Vay,9.075.508.500,2.200.000.000,,,9075508500.0,2200000000.0
Nguyễn Đăng Thanh,Vay > Nguyễn Đăng Thanh,Nguyễn Đăng Thanh,Chủ tịch HĐQT,Vay,8.750.000.000,,,,8750000000.0,
Công ty Cổ phần Du lịch Thành Thành Công,Vay > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Bên liên quan,Vay,5.000.000.000,-,,,5000000000.0,
Lâm Minh Châu,Vay > Lâm Minh Châu,Lâm Minh Châu,Thành viên HĐQT,Vay,2.111.729.812,-,,,2111729812.0,
Nguyễn Thị Hằng Nga,Vay > Nguyễn Thị Hằng Nga,Nguyễn Thị Hằng Nga,Phó tổng giám đốc,Vay,2.000.000.000,-,,,2000000000.0,
Trần Lam Thông,Vay > Trần Lam Thông,Trần Lam Thông,Cổ đông,Vay,708.838.067,5.303.298.097,,,708838067.0,5303298097.0
Công ty TNHH MTV TTC Land Retail Management,Vay > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty con,Vay,460.000.000,2.500.000.000,,,460000000.0,2500000000.0
Công ty Cổ phần Thương Tín Tàu Cước,Vay > Công ty Cổ phần Thương Tín Tàu Cước,Công ty Cổ phần Thương Tín Tàu Cước,Công ty con,Vay,-,126.500.000.000,,,,126500000000.0
Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Vay > Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty liên kết,Vay,-,13.100.000.000,,,,13100000000.0
,,,,,140.105.776.379,171.852.998.097,,,140105776379.0,171852998097.0
