row_label_raw,row_label_full,col_0,Số suối năm,VND Số đầu năm,numeric__Số suối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.996.012.753.346,1.189.892.315.553,1996012753346.0,1189892315553.0
Tiền đặt cọc ngăn hạn từ cả nhân đề mua cản hộ,Tiền đặt cọc ngăn hạn từ cả nhân đề mua cản hộ,Tiền đặt cọc ngăn hạn từ cả nhân đề mua cản hộ,1.954.620.804.277,1.118.357.676.120,1954620804277.0,1118357676120.0
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",19.266.235.020,16.625.014.550,19266235020.0,16625014550.0
Chi phí bảo trì chung cư,Chi phí bảo trì chung cư,Chi phí bảo trì chung cư,10.560.829.150,14.067.000.617,10560829150.0,14067000617.0
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",8.725.427.086,7.563.223.579,8725427086.0,7563223579.0
"Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp","Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp","Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp",163.423.836,109.883.736,163423836.0,109883736.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",2.676.033.977,33.169.516.951,2676033977.0,33169516951.0
Dải hạn,Dải hạn,Dải hạn,42.526.098.118,14.137.006.478,42526098118.0,14137006478.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",42.526.098.118,14.137.006.478,42526098118.0,14137006478.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.038.538.851.464,1.204.029.322.031,2038538851464.0,1204029322031.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,1.699.549.311.356,1.198.282.210.717,1699549311356.0,1198282210717.0
Phải trả các bên liên quan(Thuyết minh số 31),Trong đó: > Phải trả các bên liên quan(Thuyết minh số 31),Phải trả các bên liên quan(Thuyết minh số 31),338.989.540.108,5.747.111.314,338989540108.0,5747111314.0
