row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (đã trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (đã trình bày lại)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Tổng lợi nhuận kế toán trước thuế,,269.842.337.384,107.031.039.688,,,269842337384.0,107031039688.0
01,01,01,Điều chỉnh cho các khoản:,,,,,,,
02,01 > 02,02,Khẩu hao và hao mòn tài sản cố định và bất động sản đầu tư,,14.883.232.323,3.901.823.421,,,14883232323.0,3901823421.0
03,01 > 03,03,(Hoàn nhập dự phòng) dự phòng,,(16.299.681.605),31.795.221.885,,,-16299681605.0,31795221885.0
05,01 > 05,05,Lãi từ hoạt động đầu tư,,(168.517.991.710),(348.829.897.093),,,-168517991710.0,-348829897093.0
06,01 > 06,06,Chi phí đi vay,27,134.968.073.199,167.092.348.141,,27.0,134968073199.0,167092348141.0
08,01 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đói vốn lưu động,,234.875.969.591,(39.009.463.958),,,234875969591.0,-39009463958.0
09,01 > 09,09,Tăng các khoản phải thu,,(311.425.911.522),(470.140.031.026),,,-311425911522.0,-470140031026.0
10,01 > 10,10,(Tăng) giảm hàng tồn kho,,(389.421.662.497),286.378.673.677,,,-389421662497.0,286378673677.0
11,01 > 11,11,Tăng các khoản phải trả,,182.647.259.940,755.821.447.764,,,182647259940.0,755821447764.0
12,01 > 12,12,Tăng (giảm) chi phí trả trước,,(56.895.259.955),4.059.417.572,,,-56895259955.0,4059417572.0
14,01 > 14,14,Tiền lãi vay đã trả,,(99.660.452.218),(192.175.916.227),,,-99660452218.0,-192175916227.0
15,01 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,19,(12.421.778.370),(17.353.616.955),,19.0,-12421778370.0,-17353616955.0
17,01 > 17,17,Tiền chi khác cho hoạt động kinh doanh,,(8.864.118.273),(11.129.009.214),,,-8864118273.0,-11129009214.0
20,01 > 20,20,Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động kinh doanh,,(461.165.953.304),316.451.501.633,,,-461165953304.0,316451501633.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,01 > 21,21,Tiền chi để mua sám tài sản cố định và bất động sản đầu tư,,(18.141.062.794),(55.221.648.004),,,-18141062794.0,-55221648004.0
22,01 > 22,22,Tiền thu do thanh lý tài sản cố định,,125.984.601.022,397.849.517.171,,,125984601022.0,397849517171.0
23,01 > 23,23,Tiền chi cho vay,,(1.039.897.832.482),(2.736.708.416.393),,,-1039897832482.0,-2736708416393.0
24,01 > 24,24,Tiền thu hồi cho vay,,907.357.397.279,2.114.931.956.841,,,907357397279.0,2114931956841.0
25,01 > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(12.030.000.000),(1.466.016.920.000),,,-12030000000.0,-1466016920000.0
26,01 > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,324.391.744.137,172.073.397.000,,,324391744137.0,172073397000.0
27,01 > 27,27,Tiền thu lãi cho vay và cổ tức,,67.866.727.559,298.842.283.929,,,67866727559.0,298842283929.0
30,01 > 30,30,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động đầu tư,,355.531.574.721,(1.274.249.829.456),,,355531574721.0,-1274249829456.0
