row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,,,,
Công ty Cổ Phân Đầu TưTín Nghĩa Á Châu,Phải thu khác ngắn hạn > Công ty Cổ Phân Đầu TưTín Nghĩa Á Châu,Công ty Cổ Phân Đầu TưTín Nghĩa Á Châu,Bên liên quan,Thỏa thuận chuyển giao quyền chọn Khác,97.264.200.00061.397.275,19.061.397.275-,,,9.726420000061397e+18,
Công ty Cổ phần MayTiền Phát,Phải thu khác ngắn hạn > Công ty Cổ phần MayTiền Phát,Công ty Cổ phần MayTiền Phát,Công ty liên kết,Thu nhập lãi cho vay,88.853.342.290,37.998.093.854-,,,88853342290.0,
Công ty Cổ phần ThànhThành Nam,Phải thu khác ngắn hạn > Công ty Cổ phần ThànhThành Nam,Công ty Cổ phần ThànhThành Nam,Bên liên quan,Đặt cọc Thu nhập lãi cho vay,57.350.000.00010.936.404.110,321.500.0008.089.680.419,,,5.735000000010937e+21,3.2150000080896804e+18
Công ty TNHH Đầu tưPhát triển Bất động sảnHùng Anh Năm,Phải thu khác ngắn hạn > Công ty TNHH Đầu tưPhát triển Bất động sảnHùng Anh Năm,Công ty TNHH Đầu tưPhát triển Bất động sảnHùng Anh Năm,Công ty con,Góp vốn,21.267.606.169,,,,21267606169.0,
Công ty Cổ phần BấtĐồng Sản 66Trần Lam Thông,Phải thu khác ngắn hạn > Công ty Cổ phần BấtĐồng Sản 66Trần Lam Thông,Công ty Cổ phần BấtĐồng Sản 66Trần Lam Thông,Bên liên quanCổ đông,Thu nhập lãi cho vayTam ứng công tác đến bù,13.917.750.0046.738.940.012,5.347.750.00016.481.072.972,,,1.3917750004673895e+20,5.347750000164811e+20
Công ty Cổ phần Du lịchThành Thành CôngLâm Đồng,Phải thu khác ngắn hạn > Công ty Cổ phần Du lịchThành Thành CôngLâm Đồng,Công ty Cổ phần Du lịchThành Thành CôngLâm Đồng,Công ty trong cùngTập đoàn,Thu nhập lãi cho vay,2.712.301.369,2.070.249.998,,,2712301369.0,2070249998.0
Công ty Cổ Phần ToànHải Văn,Phải thu khác ngắn hạn > Công ty Cổ Phần ToànHải Văn,Công ty Cổ Phần ToànHải Văn,Công ty trong cùngTập đoàn,Thu nhập lãi cho vay,2.526.145.679,4.346.332.270,,,2526145679.0,4346332270.0
Công ty Cổ phầnSX-XD-DV Hoa Đông,Phải thu khác ngắn hạn > Công ty Cổ phầnSX-XD-DV Hoa Đông,Công ty Cổ phầnSX-XD-DV Hoa Đông,Công ty trong cùngTập đoàn,Thu nhập từ cho vay,1.294.207.942,92.050.000,,,1294207942.0,92050000.0
Công ty Cổ phần Đầu TưKiến Trúc Xây Dương ToànThịnh Phát,Phải thu khác ngắn hạn > Công ty Cổ phần Đầu TưKiến Trúc Xây Dương ToànThịnh Phát,Công ty Cổ phần Đầu TưKiến Trúc Xây Dương ToànThịnh Phát,Bên liên quan,Thu nhập cho vay,1.188.169.374,521.467.016,,,1188169374.0,521467016.0
Huỳnh Thảo Lĩnh,Phải thu khác ngắn hạn > Huỳnh Thảo Lĩnh,Huỳnh Thảo Lĩnh,Bên liên quanTổngGiám đốc,Khác,533.264.693,1.390.668.037-,,,533264693.0,
Vũ Quốc Thái,Phải thu khác ngắn hạn > Vũ Quốc Thái,Vũ Quốc Thái,Công ty con,Khác,350.000.00043.983.257,-,,,3.5000000043983256e+16,
Công ty TNHH Quản lýDịch vụ Địa Đic Sài GònThương Tín,Phải thu khác ngắn hạn > Công ty TNHH Quản lýDịch vụ Địa Đic Sài GònThương Tín,Công ty TNHH Quản lýDịch vụ Địa Đic Sài GònThương Tín,Công ty liên kết,Khác,20.000.000,-,,,20000000.0,
Công ty Cổ phần ĐầuTur SVG,Phải thu khác ngắn hạn > Công ty Cổ phần ĐầuTur SVG,Công ty Cổ phần ĐầuTur SVG,Cổ đông,Khác,11.405.900,11.405.900,,,11405900.0,11405900.0
Công ty Cổ phần Đầu tư vàThương Mai Thuận ThiênThái Văn Chuyên,Phải thu khác ngắn hạn > Công ty Cổ phần Đầu tư vàThương Mai Thuận ThiênThái Văn Chuyên,Công ty Cổ phần Đầu tư vàThương Mai Thuận ThiênThái Văn Chuyên,Bên liên quan,Tam ứng chuyển nhượng cổ phần,-,200.000.000.00098.583.333,,,,2.0000000000098583e+19
Công ty Cổ phần ThươngTín Tàu Quốc,Phải thu khác ngắn hạn > Công ty Cổ phần ThươngTín Tàu Quốc,Công ty Cổ phần ThươngTín Tàu Quốc,Công ty con,Khác,-,35.000.000,,,,35000000.0
Công ty Cổ phần Bao bivà Kho bãi Bình Tây,Phải thu khác ngắn hạn > Công ty Cổ phần Bao bivà Kho bãi Bình Tây,Công ty Cổ phần Bao bivà Kho bãi Bình Tây,Công ty liên kết,Khác,-,32.083.333,,,,32083333.0
Công ty Cổ phần Đầu tưPhát triển Bất động sảnĐồng Sài Gòn,Phải thu khác ngắn hạn > Công ty Cổ phần Đầu tưPhát triển Bất động sảnĐồng Sài Gòn,Công ty Cổ phần Đầu tưPhát triển Bất động sảnĐồng Sài Gòn,Công ty con,Khác,-,32.083.333,,,,32083333.0
