row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Đã trả trong năm,Phân loại vay và nợ ngắn hạn đến hạn trả,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Đã trả trong năm,numeric__Phân loại vay và nợ ngắn hạn đến hạn trả,numeric__Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.303.928.743.417,1.999.354.886.695,(2.078.378.872.113),310.285.999.999,1.535.190.757.998,1303928743417.0,1999354886695.0,-2078378872113.0,310285999999.0,1535190757998.0
Vay các bên khác (Thuyết minh số 23.4),Vay các bên khác (Thuyết minh số 23.4),Vay các bên khác (Thuyết minh số 23.4),513.346.248.448,1.246.807.224.240,(882.857.588.616),-,877.295.884.072,513346248448.0,1246807224240.0,-882857588616.0,,877295884072.0
Vay ngân hàng (Thuyết minh số 23.1),Vay ngân hàng (Thuyết minh số 23.1),Vay ngân hàng (Thuyết minh số 23.1),217.518.921.338,752.547.662.455,(622.457.709.866),-,347.608.873.927,217518921338.0,752547662455.0,-622457709866.0,,347608873927.0
Trải phiếu (Thuyết minh số 23.3),Trải phiếu (Thuyết minh số 23.3),Trải phiếu (Thuyết minh số 23.3),300.000.000.000,-,(300.000.000.000),-,-,300000000000.0,,-300000000000.0,,
Trải phiếu dài hạn đến hạn trả (Thuyết minh số 23.3),Trải phiếu dài hạn đến hạn trả (Thuyết minh số 23.3),Trải phiếu dài hạn đến hạn trả (Thuyết minh số 23.3),160.000.000.000,-,(160.000.000.000),279.000.000.000,279.000.000.000,160000000000.0,,-160000000000.0,279000000000.0,279000000000.0
Vay dài hạn đến hạn trả từ ngân hàng (Thuyết minh số 23.2),Vay dài hạn đến hạn trả từ ngân hàng (Thuyết minh số 23.2),Vay dài hạn đến hạn trả từ ngân hàng (Thuyết minh số 23.2),112.954.369.597,-,(112.954.369.597),31.285.999.999,31.285.999.999,112954369597.0,,-112954369597.0,31285999999.0,31285999999.0
No thuê tài chính đến hạn trả,No thuê tài chính đến hạn trả,No thuê tài chính đến hạn trả,109.204.034,-,(109.204.034),-,-,109204034.0,,-109204034.0,,
Dài hạn,Dài hạn,Dài hạn,1.032.132.901.690,401.179.770.968,(247.543.996.539),(310.285.999.999),875.482.676.120,1032132901690.0,401179770968.0,-247543996539.0,-310285999999.0,875482676120.0
Trải phiếu (Thuyết minh số 23.3),Trải phiếu (Thuyết minh số 23.3),Trải phiếu (Thuyết minh số 23.3),870.095.890.411,380.000.000.000,(121.000.000.000),(279.000.000.000),850.095.890.411,870095890411.0,380000000000.0,-121000000000.0,-279000000000.0,850095890411.0
Vay ngân hàng (Thuyết minh số 23.2),Vay ngân hàng (Thuyết minh số 23.2),Vay ngân hàng (Thuyết minh số 23.2),168.851.654.140,15.978.342.398,(126.543.996.539),(31.285.999.999),27.000.000.000,168851654140.0,15978342398.0,-126543996539.0,-31285999999.0,27000000000.0
Chi phí phát hành trái phiếu (Thuyết minh số 23.3),Chi phí phát hành trái phiếu (Thuyết minh số 23.3),Chi phí phát hành trái phiếu (Thuyết minh số 23.3),(6.814.642.861),5.201.428.570,-,-,(1.613.214.291),-6814642861.0,5201428570.0,,,-1613214291.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.336.061.645.107,2.400.534.657.663,(2.325.922.868.652),-,2.410.673.434.118,2336061645107.0,2400534657663.0,-2325922868652.0,,2410673434118.0
