row_label_raw,row_label_full,col_0,Trang,numeric__Trang
Thông tin chung,Thông tin chung,Thông tin chung,1 - 2,
Bảo cáo của Hội đồng Quản trị,Thông tin chung > Bảo cáo của Hội đồng Quản trị,Bảo cáo của Hội đồng Quản trị,3,3.0
Bảo cáo kiểm toán độc lập,Bảo cáo kiểm toán độc lập,Bảo cáo kiểm toán độc lập,4 - 5,
Bàng cân đối kế toán riêng,Bàng cân đối kế toán riêng,Bàng cân đối kế toán riêng,6 - 8,
Bảo cáo kết quả hoạt động kinh doanh riêng,Bàng cân đối kế toán riêng > Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng,9,9.0
Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,10 - 11,
Thuyết minh bảo cáo tài chính riêng,Thuyết minh bảo cáo tài chính riêng,Thuyết minh bảo cáo tài chính riêng,12 - 60,
