row_label_raw,row_label_full,BÁNG CẦN ĐỐI KẾ TOÁN RIÊNG TẠI NGÀY 31 THÁNG 12 NĂM 2018,Số đầu năm(trình bày trước đây) > BÁNG CẦN ĐỐI KẾ TOÁN RIÊNG TẠI NGÀY 31 THÁNG 12 NĂM 2018,Phân loại lại > BÁNG CẦN ĐỐI KẾ TOÁN RIÊNG TẠI NGÀY 31 THÁNG 12 NĂM 2018,VND Số đầu năm(trình bày lại) > BÁNG CẦN ĐỐI KẾ TOÁN RIÊNG TẠI NGÀY 31 THÁNG 12 NĂM 2018,numeric__Số đầu năm(trình bày trước đây) > BÁNG CẦN ĐỐI KẾ TOÁN RIÊNG TẠI NGÀY 31 THÁNG 12 NĂM 2018,numeric__Phân loại lại > BÁNG CẦN ĐỐI KẾ TOÁN RIÊNG TẠI NGÀY 31 THÁNG 12 NĂM 2018,numeric__VND Số đầu năm(trình bày lại) > BÁNG CẦN ĐỐI KẾ TOÁN RIÊNG TẠI NGÀY 31 THÁNG 12 NĂM 2018
Phải thu khác,Phải thu khác,Phải thu khác,207.189.103.960,216.298.528.906,423.487.632.866,207189103960.0,216298528906.0,423487632866.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,2.787.212.081.681,(104.712.205.328),2.682.499.876.353,2787212081681.0,-104712205328.0,2682499876353.0
Đầu tư góp vốn vàođơn vị khác,Đầu tư góp vốn vàođơn vị khác,Đầu tư góp vốn vàođơn vị khác,258.105.998.907,(200.000.000.000),58.105.998.907,258105998907.0,-200000000000.0,58105998907.0
Thuế và các khoản phảithu Nhà nước,Thuế và các khoản phảithu Nhà nước,Thuế và các khoản phảithu Nhà nước,16.298.528.906,(16.298.528.906),-,16298528906.0,-16298528906.0,
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,9.741.461.417,241.529.803.064,251.271.264.481,9741461417.0,241529803064.0,251271264481.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,136.817.597.736,(136.817.597.736),-,136817597736.0,-136817597736.0,
BẢO CẢO LƯU CHUYỀN TIÊN TỆ RIÊNG CHO NĂM TÀI CHÍNH KẾT THỨCNGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO LƯU CHUYỀN TIÊN TỆ RIÊNG CHO NĂM TÀI CHÍNH KẾT THỨCNGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO LƯU CHUYỀN TIÊN TỆ RIÊNG CHO NĂM TÀI CHÍNH KẾT THỨCNGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO LƯU CHUYỀN TIÊN TỆ RIÊNG CHO NĂM TÀI CHÍNH KẾT THỨCNGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO LƯU CHUYỀN TIÊN TỆ RIÊNG CHO NĂM TÀI CHÍNH KẾT THỨCNGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO LƯU CHUYỀN TIÊN TỆ RIÊNG CHO NĂM TÀI CHÍNH KẾT THỨCNGÀY 31 THÁNG 12 NĂM 2018,,,
Tăng khoản phải thu,BẢO CẢO LƯU CHUYỀN TIÊN TỆ RIÊNG CHO NĂM TÀI CHÍNH KẾT THỨCNGÀY 31 THÁNG 12 NĂM 2018 > Tăng khoản phải thu,Tăng khoản phải thu,(470.140.031.026),(16.298.528.906),(486.438.559.932),-470140031026.0,-16298528906.0,-486438559932.0
Giám hàng tồn kho,BẢO CẢO LƯU CHUYỀN TIÊN TỆ RIÊNG CHO NĂM TÀI CHÍNH KẾT THỨCNGÀY 31 THÁNG 12 NĂM 2018 > Giám hàng tồn kho,Giám hàng tồn kho,286.378.673.677,(104.712.205.328),181.666.468.349,286378673677.0,-104712205328.0,181666468349.0
Tăng chi phí trả trước,BẢO CẢO LƯU CHUYỀN TIÊN TỆ RIÊNG CHO NĂM TÀI CHÍNH KẾT THỨCNGÀY 31 THÁNG 12 NĂM 2018 > Tăng chi phí trả trước,Tăng chi phí trả trước,4.059.417.572,121.010.734.234,125.070.151.806,4059417572.0,121010734234.0,125070151806.0
