row_label_raw,row_label_full,col_0,Lãi suất%/năm,Số suǒi năm,VND Số đầu năm,numeric__Lãi suất%/năm,numeric__Số suǒi năm,numeric__VND Số đầu năm
Vay từ cá nhân,Vay từ cá nhân,Vay từ cá nhân,"5,00-12,00",420.920.064.072,310.565.548.448,,420920064072.0,310565548448.0
Vay từ công tyCông ty Cổ phần ThươngTín Tàu Cước,Vay từ công tyCông ty Cổ phần ThươngTín Tàu Cước,Vay từ công tyCông ty Cổ phần ThươngTín Tàu Cước,"10,50",456.375.820.000,202.780.700.000,10.5,456375820000.0,202780700000.0
Công ty Cổ Phần Đầu TưTín Nghĩa Á Châu,Công ty Cổ Phần Đầu TưTín Nghĩa Á Châu,Công ty Cổ Phần Đầu TưTín Nghĩa Á Châu,"10,50",169.433.120.000,126.500.000.000,10.5,169433120000.0,126500000000.0
Công ty Cổ phần Đầu tưPhát triển Bất động sảnĐông Sài Gòn,Công ty Cổ phần Đầu tưPhát triển Bất động sảnĐông Sài Gòn,Công ty Cổ phần Đầu tưPhát triển Bất động sảnĐông Sài Gòn,"14,00",59.750.000.000,-,14.0,59750000000.0,
Công ty TNHH Đầu tưThành Tạo,Công ty TNHH Đầu tưThành Tạo,Công ty TNHH Đầu tưThành Tạo,"10,00",54.500.000.000,-,10.0,54500000000.0,
Công ty Cổ phần Khu CôngNghiệp Thành Thành Công,Công ty Cổ phần Khu CôngNghiệp Thành Thành Công,Công ty Cổ phần Khu CôngNghiệp Thành Thành Công,"12,30",38.431.000.000,38.431.000.000,12.3,38431000000.0,38431000000.0
Công ty TNHH Xây DụngThương Mai Thuận Việt,Công ty TNHH Xây DụngThương Mai Thuận Việt,Công ty TNHH Xây DụngThương Mai Thuận Việt,"7,00",30.000.000.000,-,7.0,30000000000.0,
Công ty Cổ phần Kho bãiBao Bi Bình Tây,Công ty Cổ phần Kho bãiBao Bi Bình Tây,Công ty Cổ phần Kho bãiBao Bi Bình Tây,"10,00","28,000.000.000",-,10.0,28.0,
Công ty Cổ phần ChêNgọc Bảo,Công ty Cổ phần ChêNgọc Bảo,Công ty Cổ phần ChêNgọc Bảo,"5,00",23.552.000.000,13.100.000.000,5.0,23552000000.0,13100000000.0
Công ty Cổ phần Nănglương Thương Tín,Công ty Cổ phần Nănglương Thương Tín,Công ty Cổ phần Nănglương Thương Tín,-,16.000.000.000,-,,16000000000.0,
Công ty Cổ phần Đầu tưBất Đông Sản Kim Thành,Công ty Cổ phần Đầu tưBất Đông Sản Kim Thành,Công ty Cổ phần Đầu tưBất Đông Sản Kim Thành,"10,00",12.749.700.000,12.749.700.000,10.0,12749700000.0,12749700000.0
Công ty Cổ phần Du LịchThành Thành Công,Công ty Cổ phần Du LịchThành Thành Công,Công ty Cổ phần Du LịchThành Thành Công,"12,00",9.500.000.000,9.500.000.000,12.0,9500000000.0,9500000000.0
Công ty Cổ phần Đầu TurHạ Tầng Cụm Công NghiệpTân Hội,Công ty Cổ phần Đầu TurHạ Tầng Cụm Công NghiệpTân Hội,Công ty Cổ phần Đầu TurHạ Tầng Cụm Công NghiệpTân Hội,"11,00",5.000.000.000,-,11.0,5000000000.0,
Công ty Cổ phần Khai thácvà Quản lý Khu Côngnghiệp Đăng Huỳnh,Công ty Cổ phần Khai thácvà Quản lý Khu Côngnghiệp Đăng Huỳnh,Công ty Cổ phần Khai thácvà Quản lý Khu Côngnghiệp Đăng Huỳnh,"11,00",5.000.000.000,-,11.0,5000000000.0,
Công ty TNHH MTV LandRetail Management,Công ty TNHH MTV LandRetail Management,Công ty TNHH MTV LandRetail Management,"10,50",4.000.000.000,2.500.000.000,10.5,4000000000.0,2500000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,877.295.884.072,513.346.248.448,,877295884072.0,513346248448.0
