row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (đã trình bày lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (đã trình bày lại)
200,200,200,B. TÀI SẢN DÀI HẠN,,3.733.339.225.825,3.700.395.937.764,,,3733339225825.0,3700395937764.0
210,210,210,I. Các khoản phải thu dài hạn,,331.109.049.457,352.982.151.086,,,331109049457.0,352982151086.0
212,212,212,1. Trả trước cho người bán dài hạn,,2.432.660.940,5.394.219.700,,,2432660940.0,5394219700.0
215,215,215,2. Phải thu về cho vay dài hạn,8,616.666.659,19.878.063.938,,8.0,616666659.0,19878063938.0
216,216,216,3. Phải thu dài hạn khác,9,328.059.721.858,327.709.867.448,,9.0,328059721858.0,327709867448.0
220,220,220,II. Tài sản cố định,,103.433.254.020,104.133.942.627,,,103433254020.0,104133942627.0
221,221,221,1. Tài sản cố định hữu hình,11,3.743.794.301,11.221.649.451,,11.0,3743794301.0,11221649451.0
222,222,222,Nguyên giá,,14.086.959.880,22.287.261.797,,,14086959880.0,22287261797.0
223,223,223,Giá trị khấu hao lũy kế,,(10.343.165.579),(11.065.612.346),,,-10343165579.0,-11065612346.0
224,224,224,2. Tài sản cố định thuê tài chính,,-,536.676.229,,,,536676229.0
225,225,225,Nguyên giá,,-,1.288.022.909,,,,1288022909.0
226,226,226,Giá trị khấu hao lũy kế,,-,(751.346.680),,,,-751346680.0
227,227,227,3. Tài sản cố định vô hình,12,99.689.459.719,92.375.616.947,,12.0,99689459719.0,92375616947.0
228,228,228,Nguyên giá,,105.646.210.014,97.210.507.698,,,105646210014.0,97210507698.0
229,229,229,Giá trị hao món lũy kế,,(5.956.750.295),(4.834.890.751),,,-5956750295.0,-4834890751.0
230,230,230,III. Bất động sản đầu tư,13,479.895.988.066,160.776.437.363,,13.0,479895988066.0,160776437363.0
231,231,231,1. Nguyên giá,,495.261.733.773,164.979.044.379,,,495261733773.0,164979044379.0
232,232,232,2. Giá trị khấu hao lũy kế,,(15.365.745.707),(4.202.607.016),,,-15365745707.0,-4202607016.0
240,240,240,IV. Tài sản dở dang dài hạn,14,1.166.136.600,20.937.283.621,,14.0,1166136600.0,20937283621.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,,1.166.136.600,20.937.283.621,,,1166136600.0,20937283621.0
250,250,250,V. Đầu tư tài chính dài hạn,15,2.508.531.036.054,2.810.294.858.586,,15.0,2508531036054.0,2810294858586.0
251,251,251,1. Đầu tư vào công ty con,,2.354.337.559.411,2.342.307.559.411,,,2354337559411.0,2342307559411.0
252,252,252,2. Đầu tư vào công ty liên kết,,12.800.000.000,535.503.444.137,,,12800000000.0,535503444137.0
253,253,253,3. Đầu tư góp vốn vào đơn vị khác,,256.417.698.907,58.105.998.907,,,256417698907.0,58105998907.0
254,254,254,4. Dự phòng đầu tư tài chính dài hạn,,(115.024.222.264),(125.622.143.869),,,-115024222264.0,-125622143869.0
260,260,260,VI. Tài sản dài hạn khác,16,309.203.761.628,251.271.264.481,,16.0,309203761628.0,251271264481.0
261,261,261,1. Chi phí trả trước dài hạn,,309.203.761.628,251.271.264.481,,,309203761628.0,251271264481.0
270,270,270,TỔNG CỘNG TÀI SẢN,,10.405.904.367.671,9.873.522.676.578,,,10405904367671.0,9873522676578.0
