row_label_raw,row_label_full,col_0,Nhà cửavật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Khác,Tổng cộng,numeric__Nhà cửavật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,249.090.909,1.023.943.943,8.956.182.907,12.058.044.038,22.287.261.797,249090909.0,1023943943.0,8956182907.0,12058044038.0,22287261797.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,-,165.970.990,1.291.501.909,622.410.000,2.079.882.899,,165970990.0,1291501909.0,622410000.0,2079882899.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(10.247.684.816),(32.500.000),(10.280.184.816),,,-10247684816.0,-32500000.0,-10280184816.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,249.090.909,1.189.914.933,-,12.647.954.038,14.086.959.880,249090909.0,1189914933.0,,12647954038.0,14086959880.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,1.023.943.943,-,6.343.167.205,7.367.111.148,,1023943943.0,,6343167205.0,7367111148.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(145.303.032),(1.023.943.943),(2.023.106.658),(7.873.258.713),(11.065.612.346),-145303032.0,-1023943943.0,-2023106658.0,-7873258713.0,-11065612346.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(41.515.152),(32.272.135),(1.284.935.305),(1.239.511.496),(2.598.234.088),-41515152.0,-32272135.0,-1284935305.0,-1239511496.0,-2598234088.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,3.308.041.963,12.638.892,3.320.680.855,,,3308041963.0,12638892.0,3320680855.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(186.818.184),(1.056.216.078),-,(9.100.131.317),(10.343.165.579),-186818184.0,-1056216078.0,,-9100131317.0,-10343165579.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,103.787.877,-,6.933.076.249,4.184.785.325,11.221.649.451,103787877.0,,6933076249.0,4184785325.0,11221649451.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,62.272.725,133.698.855,-,3.547.822.721,3.743.794.301,62272725.0,133698855.0,,3547822721.0,3743794301.0
