row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,,,,
Công ty TNHH Sản xuấtKinh doanh Hai Thành,Phải thu khác dài hạn > Công ty TNHH Sản xuấtKinh doanh Hai Thành,Công ty TNHH Sản xuấtKinh doanh Hai Thành,Bên liên quan,Phải thu liên quan đến HĐHTKD,253.765.946.800,253.286.743.390,,,253765946800.0,253286743390.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty CP Đầu TưThành Thành Công,Phải trả người bán ngắn hạn > Công ty CP Đầu TưThành Thành Công,Công ty CP Đầu TưThành Thành Công,Cổ đông,Mua hàng hóa và dịch vụ,5.091.398.260,4.291.287.737,,,5091398260.0,4291287737.0
Công ty Cổ phần Thành Thành Nam,Phải trả người bán ngắn hạn > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Bên liên quan,Mua hàng hóa và dịch vụ,5.006.835.346,778.246.600,,,5006835346.0,778246600.0
Công ty cổ phần May Tiến Phát,Phải trả người bán ngắn hạn > Công ty cổ phần May Tiến Phát,Công ty cổ phần May Tiến Phát,Công ty liên kết,Mua hàng hóa và dịch vụ,2.349.037.020,-,,,2349037020.0,
Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Phải trả người bán ngắn hạn > Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty liên kết,Mua hàng hóa và dịch vụ,2.147.602.261,361.058.656,,,2147602261.0,361058656.0
Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Phải trả người bán ngắn hạn > Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Bên liên quan,Mua hàng hóa và dịch vụ,2.133.482.617,69.674.004,,,2133482617.0,69674004.0
Công ty TNHH Quản lý Dịch vụ Địa ốc Sài Gòn Thương Tín,Phải trả người bán ngắn hạn > Công ty TNHH Quản lý Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH Quản lý Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty con,Mua hàng hóa và dịch vụ,2.105.019.841,8.108.562.531,,,2105019841.0,8108562531.0
Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Phải trả người bán ngắn hạn > Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Bên liên quan,Mua hàng hóa và dịch vụ,1.726.722.673,11.151.238.815,,,1726722673.0,11151238815.0
Công ty TNHH Sản xuấtKinh doanh Hải Thành,Phải trả người bán ngắn hạn > Công ty TNHH Sản xuấtKinh doanh Hải Thành,Công ty TNHH Sản xuấtKinh doanh Hải Thành,Bên liên quan,Mua hàng hóa và dịch vụ,536.378.368,593.785.757,,,536378368.0,593785757.0
Công ty Cổ phần Du lịch Thành Thành Công,Phải trả người bán ngắn hạn > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty trong cứng Tập đoàn,Mua hàng hóa và dịch vụ,392.384.358,741.090.703,,,392384358.0,741090703.0
Công ty Cổ phần Thương Tín Tàu Cuốc Công ty TNHH Tư Vấn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Thương Tín Tàu Cuốc Công ty TNHH Tư Vấn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Công ty Cổ phần Thương Tín Tàu Cuốc Công ty TNHH Tư Vấn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Công ty con,Mua hàng hóa và dịch vụ,241.050.150,54.430.680,,,241050150.0,54430680.0
Công ty Cổ phần Thương Tín Tàu Cuốc Công ty TNHH Tư Vấn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Thương Tín Tàu Cuốc Công ty TNHH Tư Vấn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Công ty Cổ phần Thương Tín Tàu Cuốc Công ty TNHH Tư Vấn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Bên liên quan,Mua hàng hóa và dịch vụ,48.902.050,-,,,48902050.0,
Vũ Quốc Thái,Phải trả người bán ngắn hạn > Vũ Quốc Thái,Vũ Quốc Thái,Tổng Giám đốc,Mua hàng hóa và dịch vụ,15.000.000,-,,,15000000.0,
Công ty Cổ phần Xuất Nhập khẩu Bến Tre,Phải trả người bán ngắn hạn > Công ty Cổ phần Xuất Nhập khẩu Bến Tre,Công ty Cổ phần Xuất Nhập khẩu Bến Tre,Bên liên quan,Mua hàng hóa và dịch vụ,6.000.000,17.978.667,,,6000000.0,17978667.0
Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Phải trả người bán ngắn hạn > Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty trong cứng Tập đoàn,Mua hàng hóa và dịch vụ,936.000,-,,,936000.0,
Công ty Cổ phần Đầu Tư Kiến Trúc Xây Dương Toán Thịnh Phát JSC,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu Tư Kiến Trúc Xây Dương Toán Thịnh Phát JSC,Công ty Cổ phần Đầu Tư Kiến Trúc Xây Dương Toán Thịnh Phát JSC,Bên liên quan,Mua hàng hóa và dịch vụ,-,45.925.218.918,,,,45925218918.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Phải trả người bán ngắn hạn > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty con,Mua hàng hóa và dịch vụ,-,21.229.329.516,,,,21229329516.0
Công ty Cổ phần Toàn Hải Vân,Phải trả người bán ngắn hạn > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty trong cứng Tập đoàn,Mua hàng hóa và dịch vụ,-,4.200.000,,,,4200000.0
