row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm vi tính,Trang web,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm vi tính,numeric__Trang web,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,90.175.781.818,4.526.415.880,2.508.310.000,97.210.507.698,90175781818.0,4526415880.0,2508310000.0,97210507698.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,8.398.202.316,37.500.000,8.435.702.316,,8398202316.0,37500000.0,8435702316.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,90.175.781.818,12.924.618.196,2.545.810.000,105.646.210.014,90175781818.0,12924618196.0,2545810000.0,105646210014.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,3.554.528.880,-,3.554.528.880,,3554528880.0,,3554528880.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(3.751.756.915),(1.083.133.836),(4.834.890.751),,-3751756915.0,-1083133836.0,-4834890751.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(752.915.820),(368.943.724),(1.121.859.544),,-752915820.0,-368943724.0,-1121859544.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(4.504.672.735),(1.452.077.560),(5.956.750.295),,-4504672735.0,-1452077560.0,-5956750295.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,90.175.781.818,774.658.965,1.425.176.164,92.375.616.947,90175781818.0,774658965.0,1425176164.0,92375616947.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,90.175.781.818,8.419.945.461,1.093.732.440,99.689.459.719,90175781818.0,8419945461.0,1093732440.0,99689459719.0
Trong đó:Tài sản sử dụngđề thế chấp(Thuyết minhsố 23),Giá trị còn lại: > Trong đó:Tài sản sử dụngđề thế chấp(Thuyết minhsố 23),Trong đó:Tài sản sử dụngđề thế chấp(Thuyết minhsố 23),90.175.781.818,-,-,90.175.781.818,90175781818.0,,,90175781818.0
