row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(dã trình bày lại –Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(dã trình bày lại –Thuyết minh số 33)
Bất động sản dở dang,Bất động sản dở dang,Bất động sản dở dang,2.626.443.280.652,2.669.854.783.951,2626443280652.0,2669854783951.0
- Dự án Jamona City (*),- Dự án Jamona City (*),- Dự án Jamona City (*),1.964.039.303.388,2.090.256.837.745,1964039303388.0,2090256837745.0
- Dự án Carillon 7 (*),- Dự án Carillon 7 (*),- Dự án Carillon 7 (*),407.191.607.518,133.961.456.673,407191607518.0,133961456673.0
- Dự án Hung Điển – Tân Hưng Quận 8 (*),- Dự án Hung Điển – Tân Hưng Quận 8 (*),- Dự án Hung Điển – Tân Hưng Quận 8 (*),70.200.297.411,2.721.249.139,70200297411.0,2721249139.0
- Dự án TTC Plaza Đức Trọng,- Dự án TTC Plaza Đức Trọng,- Dự án TTC Plaza Đức Trọng,55.294.713.124,5.138.024.409,55294713124.0,5138024409.0
- Dự án Thanh Đa,- Dự án Thanh Đa,- Dự án Thanh Đa,35.331.091.935,34.986.908.935,35331091935.0,34986908935.0
- Dự án khu dân cư Phú Hữu Quận 9,- Dự án khu dân cư Phú Hữu Quận 9,- Dự án khu dân cư Phú Hữu Quận 9,21.776.603.921,21.776.603.921,21776603921.0,21776603921.0
- Dự án Carillon 5,- Dự án Carillon 5,- Dự án Carillon 5,17.940.886.016,45.559.584.658,17940886016.0,45559584658.0
- Dự án Charmington La Pointe (i),- Dự án Charmington La Pointe (i),- Dự án Charmington La Pointe (i),9.281.286.495,52.672.780.469,9281286495.0,52672780469.0
- Dự án Sacomreal Plaza,- Dự án Sacomreal Plaza,- Dự án Sacomreal Plaza,,188.571.232.924,,188571232924.0
- Dự án Jamona Heights,- Dự án Jamona Heights,- Dự án Jamona Heights,,61.071.636.284,,61071636284.0
- Các dự án khác,- Các dự án khác,- Các dự án khác,45.387.490.844,33.138.468.794,45387490844.0,33138468794.0
Hàng hóa Bất động sản,Hàng hóa Bất động sản,Hàng hóa Bất động sản,13.906.041.451,,13906041451.0,
Bất nên thổ cư để bán,Bất nên thổ cư để bán,Bất nên thổ cư để bán,,12.620.252.402,,12620252402.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,,24.840.000,,24840000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.640.349.322.103,2.682.499.876.353,2640349322103.0,2682499876353.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,,(5.701.760.000),,-5701760000.0
GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,2.640.349.322.103,2.676.798.116.353,2640349322103.0,2676798116353.0
