row_label_raw,row_label_full,col_0,Ghi nhận doanh thu một lần,VNDGhi nhận doanh thu theo cho thuê hoạt động,numeric__Ghi nhận doanh thu một lần,numeric__VNDGhi nhận doanh thu theo cho thuê hoạt động
Doanh thu,Doanh thu,Doanh thu,67.317.092.803,1.682.927.320,67317092803.0,1682927320.0
Giá vốn,Giá vốn,Giá vốn,39.500.485.791,987.512.145,39500485791.0,987512145.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,27.816.607.012,695.415.175,27816607012.0,695415175.0
