row_label_raw,row_label_full,Tên công ty,Tỉnh trạng,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Tỉnh trạng,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty,Tên công ty,Tên công ty,Tỉnh trạng,Lĩnh vực kinh doanh,% sở hữu,Giá gốc (VND),% sở hữu,Giá gốc (VND),,,,,,
Công ty Cổ phần Đầu tư Bất động sản Kim Thành (i),Tên công ty > Công ty Cổ phần Đầu tư Bất động sản Kim Thành (i),Công ty Cổ phần Đầu tư Bất động sản Kim Thành (i),Đang hoạt động,Phát triển và kinh doanh bất động sản,"60,00",11.800.000.000,"60,00",11.800.000.000,,,60.0,11800000000.0,60.0,11800000000.0
Công ty Cổ phần Đầu tư SVG (i),Tên công ty > Công ty Cổ phần Đầu tư SVG (i),Công ty Cổ phần Đầu tư SVG (i),Đang hoạt động,Phát triển và kinh doanh bất động sản,"50,00",1.000.000.000,"50,00",1.000.000.000,,,50.0,1000000000.0,50.0,1000000000.0
Công ty Cổ phần Khu Công nghiệp Thành Thành Công (ii),Tên công ty > Công ty Cổ phần Khu Công nghiệp Thành Thành Công (ii),Công ty Cổ phần Khu Công nghiệp Thành Thành Công (ii),Đang hoạt động,Phát triển và kinh doanh khu công nghiệp,-,-,"39,05",488.186.700.000,,,,,39.05,488186700000.0
Công ty Cổ phần Bao bị Kho bãi Bình Tây (iii),Tên công ty > Công ty Cổ phần Bao bị Kho bãi Bình Tây (iii),Công ty Cổ phần Bao bị Kho bãi Bình Tây (iii),Đang hoạt động,Sản xuất; thương mại; dịch vụ,-,-,"21,33",34.516.744.137,,,,,21.33,34516744137.0
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,,12.800.000.000,,535.503.444.137,,,,12800000000.0,,535503444137.0
Dự phòng giảm giá đầu tư,Tên công ty > Dự phòng giảm giá đầu tư,Dự phòng giảm giá đầu tư,,,,(806.064.589),,(703.333.532),,,,-806064589.0,,-703333532.0
GIÁ TRỊ THUÀN,Tên công ty > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,,11.993.935.411,,534.800.110.605,,,,11993935411.0,,534800110605.0
