row_label_raw,row_label_full,col_0,Số suối năm,VND > Số đầu năm(dã trình báy lại –Thuyết minh số 33),numeric__Số suối năm,numeric__VND > Số đầu năm(dã trình báy lại –Thuyết minh số 33)
"Hoa hồng môi giới, nhà mẫu","Hoa hồng môi giới, nhà mẫu","Hoa hồng môi giới, nhà mẫu",292.463.118.668,241.529.803.064,292463118668.0,241529803064.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",16.740.642.960,9.741.461.417,16740642960.0,9741461417.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,309.203.761.628,251.271.264.481,309203761628.0,251271264481.0
