row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,,
Công ty TNHH MTVDịch Vụ Bất Đông SánMinh Anh,Phải thu khách hàng > Công ty TNHH MTVDịch Vụ Bất Đông SánMinh Anh,Công ty TNHH MTVDịch Vụ Bất Đông SánMinh Anh,Bên liên quan,Bán hàng hóa và dịch vụ,208.500.000.000,-,,,208500000000.0,
Công ty Cổ phần MayTiền Phát,Phải thu khách hàng > Công ty Cổ phần MayTiền Phát,Công ty Cổ phần MayTiền Phát,Công ty liên kết,Bán hàng hóa và dịch vụ,53.387.285.037,72.523.981.814,,,53387285037.0,72523981814.0
Công ty TNHH MTVKinh doanh Dịch vụĐịa Óc Sài GònThương Tín,Phải thu khách hàng > Công ty TNHH MTVKinh doanh Dịch vụĐịa Óc Sài GònThương Tín,Công ty TNHH MTVKinh doanh Dịch vụĐịa Óc Sài GònThương Tín,Công ty con,Bán hàng hóa và dịch vụ,38.569.109.065,7.277.782.332,,,38569109065.0,7277782332.0
Công ty TNHH Sản xuất Xây dựng Dịch vụHoa Đồng,Phải thu khách hàng > Công ty TNHH Sản xuất Xây dựng Dịch vụHoa Đồng,Công ty TNHH Sản xuất Xây dựng Dịch vụHoa Đồng,Công ty trong cứng Tập đoàn,Bán hàng hóa và dịch vụ,6.926.700.000,-,,,6926700000.0,
Công ty Cổ phầnDu lịch Thành ThánhCông Lâm Đồng,Phải thu khách hàng > Công ty Cổ phầnDu lịch Thành ThánhCông Lâm Đồng,Công ty Cổ phầnDu lịch Thành ThánhCông Lâm Đồng,Công ty trong cứng Tập đoàn,Bán hàng hóa và dịch vụ,6.000.000.000,26.000.000.000,,,6000000000.0,26000000000.0
Công ty TNHH Đầu Tư Phát Tiến Bất ĐôngSản Hùng Anh Năm,Phải thu khách hàng > Công ty TNHH Đầu Tư Phát Tiến Bất ĐôngSản Hùng Anh Năm,Công ty TNHH Đầu Tư Phát Tiến Bất ĐôngSản Hùng Anh Năm,Công ty con,Bán hàng hóa và dịch vụ,5.084.200.000,-,,,5084200000.0,
Công ty TNHH Quản lý Địa ốc Sài GònThương Tín,Phải thu khách hàng > Công ty TNHH Quản lý Địa ốc Sài GònThương Tín,Công ty TNHH Quản lý Địa ốc Sài GònThương Tín,Công ty con,Bán hàng hóa và dịch vụ,2.068.072.928,182.508.548,,,2068072928.0,182508548.0
Công ty Cổ phầnToàn Hải Vân,Phải thu khách hàng > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công ty trong cứng Tập đoàn,Bán hàng hóa và dịch vụ,1.205.544.303,697.828.871,,,1205544303.0,697828871.0
Công ty Cổ phầnĐầu tư và Thương MaiThuận Thiên,Phải thu khách hàng > Công ty Cổ phầnĐầu tư và Thương MaiThuận Thiên,Công ty Cổ phầnĐầu tư và Thương MaiThuận Thiên,Bên liên quan,Bán hàng hóa và dịch vụ,592.639.108,592.639.108,,,592639108.0,592639108.0
