row_label_raw,row_label_full,col_0,"VNDNhà cửa,vật kiến trúc","numeric__VNDNhà cửa,vật kiến trúc"
Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,
Số đầu năm,Nguyễn giá: > Số đầu năm,Số đầu năm,164.979.044.379,164979044379.0
Tăng trong năm,Nguyễn giá: > Tăng trong năm,Tăng trong năm,366.638.231.483,366638231483.0
Thanh lý,Nguyễn giá: > Thanh lý,Thanh lý,(36.355.542.089),-36355542089.0
Số cuối năm,Nguyễn giá: > Số cuối năm,Số cuối năm,495.261.733.773,495261733773.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(4.202.607.016),-4202607016.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(11.163.138.691),-11163138691.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(15.365.745.707),-15365745707.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,160.776.437.363,160776437363.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,479.895.988.066,479895988066.0
